,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
29,De'Von Achane,22,MIA,RB,1,0,6,9,0,1,16.7,3,1.5,9.0,6.0,0,,AchaDe00
30,Jordan Love,25,GNB,QB,2,2,6,2,0,1,16.7,3,0.3,1.0,3.0,1,,LoveJo03
31,Elijah Mitchell,25,SFO,RB,2,0,6,15,1,1,33.3,7,2.5,7.5,3.0,0,,MitcEl00
32,Dak Prescott,30,DAL,QB,1,1,6,45,0,4,83.3,18,7.5,45.0,6.0,0,,PresDa01
33,Deebo Samuel,27,SFO,WR,3,3,6,15,0,1,50.0,9,2.5,5.0,2.0,0,,SamuDe00
34,Kenneth Gainwell,24,PHI,RB,1,0,4,3,0,1,75.0,4,0.8,3.0,4.0,0,,GainKe00
35,Baker Mayfield,28,TAM,QB,2,2,4,31,0,2,75.0,14,7.8,15.5,2.0,0,,MayfBa00
36,C.J. Stroud,22,HOU,QB,2,2,4,10,0,0,0.0,7,2.5,5.0,2.0,0,,StroCJ00
37,Joe Flacco,38,CLE,QB,1,1,3,13,0,2,66.7,8,4.3,13.0,3.0,0,,FlacJo00
38,Davis Mills,25,HOU,QB,1,0,3,-4,0,0,0.0,-1,-1.3,-4.0,3.0,0,,MillDa02
39,Dameon Pierce,23,HOU,RB,1,0,3,0,0,0,0.0,,0.0,0.0,3.0,0,,PierDa01
40,Ronnie Rivers,24,LAR,RB,1,0,3,9,0,1,33.3,7,3.0,9.0,3.0,0,,RiveRo01
41,Tua Tagovailoa,25,MIA,QB,1,1,3,25,0,2,66.7,14,8.3,25.0,3.0,0,,TagoTu00
42,Patrick Taylor,25,GNB,RB,1,0,3,6,0,0,0.0,3,2.0,6.0,3.0,0,,TaylPa01
43,Rico Dowdle,25,DAL,RB,1,0,2,11,0,0,50.0,9,5.5,11.0,2.0,0,,DowdRi01
44,Zay Flowers,23,BAL,WR,2,2,2,4,0,0,0.0,3,2.0,2.0,1.0,1,,FlowZa00
45,Mecole Hardman,25,KAN,WR,3,1,2,-5,0,0,0.0,-1,-2.5,-1.7,0.7,2,,HardMe00
46,Kyle Juszczyk,32,SFO,FB,2,2,2,5,0,1,100.0,3,2.5,2.5,1.0,0,,JuszKy00
47,Dare Ogunbowale,29,HOU,RB,1,0,2,7,0,0,50.0,4,3.5,7.0,2.0,0,,OgunDa00
48,Rashee Rice,23,KAN,WR,4,4,2,5,0,1,50.0,5,2.5,1.3,0.5,2,,RiceRa01
49,Mason Rudolph,28,PIT,QB,1,1,2,16,0,2,100.0,10,8.0,16.0,2.0,0,,RudoMa00
50,Nico Collins,24,HOU,WR,2,2,1,4,0,0,100.0,4,4.0,2.0,0.5,0,,CollNi00
51,Brandin Cooks,30,DAL,WR,1,1,1,6,0,0,100.0,6,6.0,6.0,1.0,0,,CookBr00
52,Stefon Diggs,30,BUF,WR,2,2,1,7,0,1,100.0,7,7.0,3.5,0.5,1,,DiggSt00
53,Damar Hamlin,25,BUF,S,1,0,1,2,0,0,0.0,2,2.0,2.0,1.0,0,,HamlDa00
54,Jalen Hurts,25,PHI,QB,1,1,1,5,0,0,0.0,5,5.0,5.0,1.0,0,,HurtJa00
55,Jauan Jennings,26,SFO,WR,3,0,1,-1,0,0,0.0,-1,-1.0,-0.3,0.3,0,,JennJa00
56,Travis Kelce,34,KAN,TE,4,4,1,5,0,1,100.0,5,5.0,1.3,0.3,0,,KelcTr00
57,CeeDee Lamb,24,DAL,WR,1,1,1,5,0,0,0.0,5,5.0,5.0,1.0,0,,LambCe00
58,John Metchie,23,HOU,WR,1,0,1,9,0,0,100.0,9,9.0,9.0,1.0,0,,MetcJo00
59,Puka Nacua,22,LAR,WR,1,1,1,-2,0,0,0.0,-2,-2.0,-2.0,1.0,1,,NacuPu00
60,Trey Palmer,22,TAM,WR,2,0,1,9,0,0,100.0,9,9.0,4.5,0.5,0,,PalmTr00
61,George Pickens,22,PIT,WR,1,1,1,15,0,1,100.0,15,15.0,15.0,1.0,1,,PickGe00
62,Jayden Reed,23,GNB,WR,2,1,1,9,0,0,100.0,9,9.0,4.5,0.5,0,,ReedJa03
63,Craig Reynolds,27,DET,RB,1,0,1,1,1,1,100.0,1,1.0,1.0,1.0,0,,ReynCr00
64,Amon-Ra St. Brown,24,DET,WR,3,3,1,2,0,0,0.0,2,2.0,0.7,0.3,0,,StxxAm00
65,Deven Thompkins,24,TAM,WR,2,0,1,10,0,1,100.0,10,10.0,5.0,0.5,0,,ThomDe07
66,Jaylen Waddle,25,MIA,WR,1,1,1,9,0,0,100.0,9,9.0,9.0,1.0,0,,WaddJa00
67,Jameson Williams,22,DET,WR,3,2,1,42,1,1,100.0,42,42.0,14.0,0.3,0,,WillJa11
68,Nelson Agholor,30,BAL,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,AghoNe00
69,Brandon Aiyuk,25,SFO,WR,3,3,0,0,0,0,,,,0.0,0.0,0,,AiyuBr00
70,Davis Allen,22,LAR,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,AlleDa02
71,Mark Andrews,28,BAL,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,AndrMa00
72,Tutu Atwell,24,LAR,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,AtweTu00
73,Calvin Austin III,24,PIT,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,AustCa00
74,Rashod Bateman,24,BAL,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,BateRa00
75,Andrew Beck,27,HOU,FB,1,1,0,0,0,0,,,,0.0,0.0,0,,BeckAn01
76,Odell Beckham Jr.,31,BAL,WR,2,1,0,0,0,0,,,,0.0,0.0,0,,BeckOd00
77,David Bell,23,CLE,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,BellDa02
78,Braxton Berrios,28,MIA,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,BerrBr00
79,Noah Brown,27,HOU,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,BrowNo00
80,Harrison Bryant,25,CLE,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,BryaHa00
81,Jason Cabinda,27,DET,FB,1,0,0,0,0,0,,,,0.0,0.0,0,,CabiJa00
82,Chris Conley,31,SFO,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,ConlCh00
83,Amari Cooper,29,CLE,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,CoopAm00
84,River Cracraft,29,MIA,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,CracRi00
85,Romeo Doubs,23,GNB,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,DoubRo00
86,Payne Durham,23,TAM,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,DurhPa00
87,Mike Evans,30,TAM,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,EvanMi00
88,Jake Ferguson,24,DAL,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,FergJa00
89,Anthony Firkser,28,DET,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,FirkAn00
90,Pat Freiermuth,25,PIT,TE,1,0,0,0,0,0,,,,0.0,0.0,1,,FreiPa00
91,Michael Gallup,27,DAL,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,GallMi00
92,Chris Godwin,27,TAM,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,GodwCh00
93,Dallas Goedert,28,PHI,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,GoedDa00
94,Marquise Goodwin,33,CLE,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,GoodMa00
95,Noah Gray,24,KAN,TE,4,2,0,0,0,0,,,,0.0,0.0,0,,GrayNo00
96,Deonte Harty,26,BUF,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,HarrDe07
97,Connor Heyward,24,PIT,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,HeywCo00
98,Tyler Higbee,30,LAR,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,HigbTy00
99,Tyreek Hill,29,MIA,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,HillTy00
100,Xavier Hutchinson,23,HOU,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,HutcXa00
101,Andy Isabella,27,BUF,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,IsabAn00
102,Richie James,28,KAN,WR,3,0,0,0,0,0,,,,0.0,0.0,1,,JameRi00
103,Diontae Johnson,27,PIT,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,JohnDi01
104,Julio Jones,34,PHI,WR,1,1,0,0,0,0,,,,0.0,0.0,1,,JoneJu02
105,Brevin Jordan,23,HOU,TE,2,2,0,0,0,0,,,,0.0,0.0,0,,JordBr00
106,Dalton Kincaid,24,BUF,TE,2,2,0,0,0,0,,,,0.0,0.0,0,,KincDa00
107,George Kittle,30,SFO,TE,3,3,0,0,0,0,,,,0.0,0.0,0,,KittGe00
108,Dawson Knox,27,BUF,TE,2,2,0,0,0,0,,,,0.0,0.0,0,,KnoxDa00
109,Charlie Kolar,24,BAL,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,KolaCh00
110,Tucker Kraft,23,GNB,TE,2,2,0,0,0,0,,,,0.0,0.0,0,,KrafTu00
111,Cooper Kupp,30,LAR,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,KuppCo00
112,Sam LaPorta,22,DET,TE,3,3,0,0,0,0,,,,0.0,0.0,0,,LaPoSa01
113,Isaiah Likely,23,BAL,TE,2,1,0,0,0,0,,,,0.0,0.0,0,,LikeIs00
114,Ray-Ray McCloud,27,SFO,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,McClRa00
115,Jerick McKinnon,31,KAN,RB,1,0,0,0,0,0,,,,0.0,0.0,0,,McKiJe00
116,Bo Melton,24,GNB,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,MeltBo00
117,David Moore,28,TAM,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,MoorDa03
118,Elijah Moore,23,CLE,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,MoorEl00
119,Latavius Murray,33,BUF,RB,2,0,0,0,0,0,,,,0.0,0.0,0,,MurrLa00
120,Luke Musgrave,23,GNB,TE,2,1,0,0,0,0,,,,0.0,0.0,0,,MusgLu00
121,David Njoku,27,CLE,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,NjokDa00
122,Cade Otton,24,TAM,TE,2,2,0,0,0,0,,,,0.0,0.0,0,,OttoCa00
123,Josh Reynolds,28,DET,WR,3,2,0,0,0,0,,,,0.0,0.0,0,,ReynJo00
124,Allen Robinson,30,PIT,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,RobiAl02
125,Demarcus Robinson,29,LAR,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,RobiDe01
126,Luke Schoonmaker,25,DAL,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,SchoLu00
127,Dalton Schultz,27,HOU,TE,2,0,0,0,0,0,,,,0.0,0.0,0,,SchuDa00
128,Khalil Shakir,23,BUF,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,ShakKh00
129,Trent Sherfield,27,BUF,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,SherTr00
130,Ben Sims,23,GNB,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,SimsBe00
131,Ben Skowronek,26,LAR,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,SkowBe00
132,DeVonta Smith,25,PHI,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,SmitDe07
133,Durham Smythe,28,MIA,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,SmytDu00
134,Jalen Tolbert,24,DAL,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,TolbJa00
135,Marquez Valdes-Scantling,29,KAN,WR,4,3,0,0,0,0,,,,0.0,0.0,0,,ValdMa00
136,Darnell Washington,22,PIT,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,WashDa03
137,Quez Watkins,25,PHI,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,WatkQu00
138,Christian Watson,24,GNB,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,WatsCh00
139,Justin Watson,27,KAN,WR,4,1,0,0,0,0,,,,0.0,0.0,0,,WatsJu01
140,Dontayvion Wicks,22,GNB,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,WickDo00
141,Cedrick Wilson Jr.,28,MIA,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,WilsCe01
142,Jeff Wilson,28,MIA,RB,1,0,0,0,0,0,,,,0.0,0.0,0,,WilsJe01
143,Robert Woods,31,HOU,WR,2,1,0,0,0,0,,,,0.0,0.0,0,,WoodRo02
144,Brock Wright,25,DET,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,WrigBr01
145,Olamide Zaccheaus,26,PHI,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,ZaccOl01
,League Average,,,,,,,,,,50.3,,4.4,12.3,2.8,,,-9999
