,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
1,Isiah Pacheco,24,KAN,RB,4,4,81,313,3,15,42.0,29,3.9,78.3,20.3,2,,PachIs00
2,Christian McCaffrey,27,SFO,RB,3,3,59,268,4,15,62.7,39,4.5,89.3,19.7,1,,McCaCh01
3,Aaron Jones,29,GNB,RB,2,2,39,226,3,14,64.1,53,5.8,113.0,19.5,0,,JoneAa00
4,David Montgomery,26,DET,RB,3,3,39,183,2,11,66.7,16,4.7,61.0,13.0,0,,MontDa01
5,James Cook,24,BUF,RB,2,2,36,140,0,9,61.1,12,3.9,70.0,18.0,0,,CookJa01
6,Jahmyr Gibbs,21,DET,RB,3,0,29,144,3,8,48.3,31,5.0,48.0,9.7,1,,GibbJa01
7,Rachaad White,24,TAM,RB,2,2,27,127,0,9,55.6,16,4.7,63.5,13.5,0,,WhitRa01
8,Patrick Mahomes,28,KAN,QB,4,4,23,141,0,9,43.5,28,6.1,35.3,5.8,2,SB MVP,MahoPa00
9,Devin Singletary,26,HOU,RB,2,2,22,88,1,4,27.3,29,4.0,44.0,11.0,0,,SingDe00
10,Josh Allen,27,BUF,QB,2,2,20,146,3,9,65.0,52,7.3,73.0,10.0,1,,AlleJo02
11,Lamar Jackson,26,BAL,QB,2,2,19,154,2,9,68.4,23,8.1,77.0,9.5,1,,JackLa00
12,Justice Hill,26,BAL,RB,2,2,16,69,0,3,43.8,14,4.3,34.5,8.0,0,,HillJu00
13,Ty Johnson,26,BUF,RB,2,0,15,66,0,6,46.7,15,4.4,33.0,7.5,0,,JohnTy02
14,Tony Pollard,26,DAL,RB,1,1,15,56,1,4,66.7,11,3.7,56.0,15.0,0,,PollTo00
15,Brock Purdy,24,SFO,QB,3,3,14,74,0,5,50.0,21,5.3,24.7,4.7,0,,PurdBr00
16,Gus Edwards,28,BAL,RB,2,0,13,60,0,4,61.5,15,4.6,30.0,6.5,0,,EdwaGu00
17,Kyren Williams,23,LAR,RB,1,1,13,61,0,3,61.5,15,4.7,61.0,13.0,0,,WillKy02
18,Najee Harris,25,PIT,RB,1,1,12,37,0,1,16.7,11,3.1,37.0,12.0,0,,HarrNa00
19,Emanuel Wilson,24,GNB,RB,2,0,12,36,0,2,50.0,8,3.0,18.0,6.0,0,,WilsEm00
20,Chase Edmonds,27,TAM,RB,2,0,11,31,0,1,36.4,9,2.8,15.5,5.5,0,,EdmoCh00
21,Clyde Edwards-Helaire,24,KAN,RB,4,0,11,53,0,3,27.3,28,4.8,13.3,2.8,1,,EdwaCl00
22,D'Andre Swift,24,PHI,RB,1,1,10,34,0,2,30.0,17,3.4,34.0,10.0,0,,SwifDA00
23,Jerome Ford,24,CLE,RB,1,1,9,17,0,0,33.3,7,1.9,17.0,9.0,0,,FordJe00
24,Jared Goff,29,DET,QB,2,2,9,3,0,1,22.2,7,0.3,1.5,4.5,1,,GoffJa00
25,Dalvin Cook,28,BAL,RB,1,0,8,23,0,1,37.5,19,2.9,23.0,8.0,0,,CookDa01
26,Kareem Hunt,28,CLE,RB,1,0,8,26,1,2,50.0,14,3.3,26.0,8.0,0,,HuntKa00
27,Raheem Mostert,31,MIA,RB,1,1,8,33,0,2,50.0,8,4.1,33.0,8.0,0,,MostRa00
28,Jaylen Warren,25,PIT,RB,1,0,8,38,0,2,37.5,12,4.8,38.0,8.0,0,,WarrJa01
