,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
1,Christian McCaffrey,26,SFO,RB,3,3,40,238,2,14,57.5,68,6.0,79.3,13.3,0,,McCaCh01
2,Joe Mixon,26,CIN,RB,3,3,39,163,1,11,56.4,16,4.2,54.3,13.0,0,,MixoJo00
3,Isiah Pacheco,23,KAN,RB,3,3,37,197,1,8,48.6,39,5.3,65.7,12.3,0,,PachIs00
4,Jalen Hurts,24,PHI,QB,3,3,35,143,5,16,60.0,28,4.1,47.7,11.7,2,,HurtJa00
5,Miles Sanders,25,PHI,RB,3,3,35,148,2,7,57.1,18,4.2,49.3,11.7,1,,SandMi01
6,Kenneth Gainwell,23,PHI,RB,3,0,33,181,1,13,45.5,35,5.5,60.3,11.0,0,,GainKe00
7,Travis Etienne,23,JAX,RB,2,2,30,171,1,9,60.0,25,5.7,85.5,15.0,0,,EtieTr00
8,Ezekiel Elliott,27,DAL,RB,2,2,23,53,0,5,39.1,9,2.3,26.5,11.5,0,,ElliEz00
9,Daniel Jones,25,NYG,QB,2,2,23,102,0,9,60.9,15,4.4,51.0,11.5,1,,JoneDa05
10,Elijah Mitchell,24,SFO,RB,2,0,23,53,0,3,26.1,13,2.3,26.5,11.5,0,,MitcEl00
11,Tony Pollard,25,DAL,RB,2,0,21,99,0,3,42.9,18,4.7,49.5,10.5,0,,PollTo00
12,Jerick McKinnon,30,KAN,RB,3,0,19,60,0,3,47.4,14,3.2,20.0,6.3,0,,McKiJe00
13,Saquon Barkley,25,NYG,RB,2,2,18,114,2,4,50.0,39,6.3,57.0,9.0,0,,BarkSa00
14,James Cook,23,BUF,RB,2,0,17,52,1,2,29.4,13,3.1,26.0,8.5,0,,CookJa01
15,Devin Singletary,25,BUF,RB,2,2,16,73,0,6,50.0,13,4.6,36.5,8.0,0,,SingDe00
16,Joe Burrow,26,CIN,QB,3,3,15,70,1,6,46.7,21,4.7,23.3,5.0,0,,BurrJo01
17,Dalvin Cook,27,MIN,RB,1,1,15,60,0,2,60.0,11,4.0,60.0,15.0,0,,CookDa01
18,Boston Scott,27,PHI,RB,3,0,15,61,2,5,60.0,10,4.1,20.3,5.0,0,,ScotBo02
19,Kenneth Walker III,22,SEA,RB,1,1,15,63,1,4,73.3,9,4.2,63.0,15.0,0,,WalkKe00
20,Samaje Perine,27,CIN,RB,3,0,14,58,1,7,64.3,11,4.1,19.3,4.7,0,,PeriSa00
21,J.K. Dobbins,24,BAL,RB,1,1,13,62,0,3,46.2,15,4.8,62.0,13.0,0,,DobbJK00
22,Austin Ekeler,27,LAC,RB,1,1,13,35,2,3,38.5,13,2.7,35.0,13.0,0,,EkelAu00
23,Deebo Samuel,26,SFO,WR,3,3,13,34,0,1,38.5,22,2.6,11.3,4.3,1,,SamuDe00
24,Josh Allen,26,BUF,QB,2,2,12,46,1,5,66.7,12,3.8,23.0,6.0,3,,AlleJo02
25,Gus Edwards,27,BAL,RB,1,0,12,39,0,4,66.7,9,3.3,39.0,12.0,0,,EdwaGu00
26,Patrick Mahomes,27,KAN,QB,3,3,12,60,0,4,50.0,26,5.0,20.0,4.0,1,SB MVP,MahoPa00
27,Dak Prescott,29,DAL,QB,2,2,11,46,1,4,63.6,11,4.2,23.0,5.5,0,,PresDa01
28,Jeff Wilson,27,MIA,RB,1,1,10,23,1,1,30.0,6,2.3,23.0,10.0,0,,WilsJe01
29,Tyler Huntley,24,BAL,QB,1,1,9,54,0,3,44.4,35,6.0,54.0,9.0,1,,HuntTy01
30,Matt Breida,27,NYG,RB,2,0,7,31,1,2,71.4,8,4.4,15.5,3.5,0,,BreiMa00
31,Joshua Kelley,25,LAC,RB,1,0,7,20,0,0,28.6,5,2.9,20.0,7.0,0,,KellJo01
32,Brock Purdy,23,SFO,QB,2,2,7,24,1,3,42.9,13,3.4,12.0,3.5,0,,PurdBr00
33,Rachaad White,23,TAM,RB,1,1,7,41,0,3,57.1,12,5.9,41.0,7.0,0,,WhitRa01
34,DeeJay Dallas,24,SEA,RB,1,0,6,13,0,0,16.7,7,2.2,13.0,6.0,0,,DallDe00
35,Salvon Ahmed,24,MIA,RB,1,0,5,3,0,0,20.0,6,0.6,3.0,5.0,0,,AhmeSa01
36,Leonard Fournette,27,TAM,RB,1,0,5,11,0,1,40.0,6,2.2,11.0,5.0,0,,FourLe00
37,Jamycal Hasty,26,JAX,RB,1,0,4,36,0,1,100.0,23,9.0,36.0,4.0,0,,HastJa02
38,Trevor Lawrence,23,JAX,QB,2,2,4,34,0,3,100.0,12,8.5,17.0,2.0,0,,LawrTr00
39,Geno Smith,32,SEA,QB,1,1,4,28,0,2,75.0,11,7.0,28.0,4.0,1,,SmitGe00
40,Justin Herbert,24,LAC,QB,1,1,3,12,0,1,33.3,13,4.0,12.0,3.0,1,,HerbJu00
41,Mecole Hardman,24,KAN,WR,1,0,2,7,0,1,100.0,5,3.5,7.0,2.0,0,,HardMe00
42,Tyreek Hill,28,MIA,WR,1,1,2,5,0,1,50.0,8,2.5,5.0,2.0,0,,HillTy00
43,Josh Johnson,36,SFO,QB,1,0,2,2,0,1,50.0,2,1.0,2.0,2.0,1,,JohnJo05
44,CeeDee Lamb,23,DAL,WR,2,2,2,6,0,1,50.0,4,3.0,3.0,1.0,0,,LambCe00
45,Jordan Mason,23,SFO,RB,1,0,2,12,0,1,100.0,8,6.0,12.0,2.0,0,,MasoJo00
46,Gardner Minshew II,26,PHI,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,2.0,0,,MinsGa00
47,Skyy Moore,22,KAN,WR,3,0,2,7,0,0,50.0,4,3.5,2.3,0.7,0,,MoorSk01
48,Skylar Thompson,25,MIA,QB,1,1,2,3,0,0,0.0,2,1.5,3.0,2.0,0,,ThomSk00
49,Jamal Agnew,27,JAX,WR,2,0,1,2,0,0,100.0,2,2.0,1.0,0.5,1,,AgneJa00
50,Mark Andrews,27,BAL,TE,1,1,1,0,0,0,0.0,,0.0,0.0,1.0,0,,AndrMa00
51,Gary Brightwell,23,NYG,RB,1,0,1,10,0,1,100.0,10,10.0,10.0,1.0,0,,BrigGa00
52,Ja'Marr Chase,22,CIN,WR,3,3,1,3,0,0,0.0,3,3.0,1.0,0.3,0,,ChasJa00
53,Kirk Cousins,34,MIN,QB,1,1,1,1,1,1,100.0,1,1.0,1.0,1.0,0,,CousKi00
54,Noah Gray,23,KAN,TE,3,3,1,0,0,0,0.0,,0.0,0.0,0.3,0,,GrayNo00
55,Chad Henne,37,KAN,QB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,1.0,0,,HennCh01
56,Ronald Jones II,25,KAN,RB,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,,JoneRo01
57,Kyle Juszczyk,31,SFO,FB,2,2,1,8,0,0,100.0,8,8.0,4.0,0.5,0,,JuszKy00
58,Christian Kirk,26,JAX,WR,2,2,1,18,0,1,100.0,18,18.0,9.0,0.5,0,,KirkCh01
59,George Kittle,29,SFO,TE,3,3,1,4,0,0,100.0,4,4.0,1.3,0.3,0,,KittGe00
60,Darius Slayton,25,NYG,WR,2,2,1,3,0,0,0.0,3,3.0,1.5,0.5,0,,SlayDa01
