,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
61,Kadarius Toney,23,KAN,WR,3,1,1,14,0,1,100.0,14,14.0,4.7,0.3,0,,ToneKa00
62,Jaylen Waddle,24,MIA,WR,1,1,1,8,0,1,100.0,8,8.0,8.0,1.0,0,,WaddJa00
63,Brandon Aiyuk,24,SFO,WR,3,3,0,0,0,0,,,,0.0,0.0,0,,AiyuBr00
64,Keenan Allen,30,LAC,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,AlleKe00
65,Cole Beasley,33,BUF,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,BeasCo00
66,Blake Bell,31,KAN,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,BellBl00
67,Daniel Bellinger,22,NYG,TE,2,2,0,0,0,0,,,,0.0,0.0,0,,BellDa00
68,Tyler Boyd,28,CIN,WR,3,3,0,0,0,0,,,,0.0,0.0,0,,BoydTy00
69,Cameron Brate,31,TAM,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,BratCa00
70,A.J. Brown,25,PHI,WR,3,3,0,0,0,0,,,,0.0,0.0,0,,BrowAJ00
71,John Brown,32,BUF,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,BrowJo02
72,Noah Brown,26,DAL,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,BrowNo00
73,Lawrence Cager,25,NYG,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,CageLa01
74,DeAndre Carter,29,LAC,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,CartDe02
75,Gabriel Davis,23,BUF,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,DaviGa01
76,Stefon Diggs,29,BUF,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,DiggSt00
77,Evan Engram,28,JAX,TE,2,2,0,0,0,0,,,,0.0,0.0,0,,EngrEv00
78,Mike Evans,29,TAM,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,EvanMi00
79,Gerald Everett,28,LAC,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,EverGe00
80,Noah Fant,25,SEA,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,FantNo00
81,Jake Ferguson,23,DAL,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,FergJa00
82,Jody Fortson,27,KAN,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,FortJo01
83,Russell Gage,26,TAM,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,GageRu00
84,Michael Gallup,26,DAL,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,GallMi00
85,Mike Gesicki,27,MIA,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,GesiMi00
86,Chris Godwin,26,TAM,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,GodwCh00
87,Dallas Goedert,27,PHI,TE,3,3,0,0,0,0,,,,0.0,0.0,0,,GoedDa00
88,Tee Higgins,23,CIN,WR,3,3,0,0,0,0,,,,0.0,0.0,0,,HiggTe00
89,Justice Hill,25,BAL,RB,1,0,0,0,0,0,,,,0.0,0.0,0,,HillJu00
90,T.Y. Hilton,33,DAL,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,HiltT.00
91,Nyheim Hines,26,BUF,RB,2,0,0,0,0,0,,,,0.0,0.0,1,,HineNy00
92,T.J. Hockenson,25,MIN,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,HockTJ00
93,Isaiah Hodgins,24,NYG,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,HodgIs00
94,Hayden Hurst,29,CIN,TE,3,3,0,0,0,0,,,,0.0,0.0,1,,HursHa00
95,Trenton Irwin,27,CIN,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,IrwiTr00
96,Richie James,27,NYG,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,JameRi00
97,Justin Jefferson,23,MIN,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,JeffJu00
98,Jauan Jennings,25,SFO,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,JennJa00
99,Cade Johnson,24,SEA,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,JohnCa03
100,Marcus Johnson,28,NYG,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,JohnMa07
101,Julio Jones,33,TAM,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,JoneJu02
102,Marvin Jones,32,JAX,WR,2,1,0,0,0,0,,,,0.0,0.0,0,,JoneMa02
103,Zay Jones,27,JAX,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,JoneZa00
104,Travis Kelce,33,KAN,TE,3,3,0,0,0,0,,,,0.0,0.0,1,,KelcTr00
105,Marcus Kemp,27,KAN,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,KempMa00
106,Ko Kieft,24,TAM,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,KiefKo00
107,Dawson Knox,26,BUF,TE,2,2,0,0,0,0,,,,0.0,0.0,0,,KnoxDa00
108,Tyler Lockett,30,SEA,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,LockTy00
109,Hunter Long,24,MIA,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,LongHu00
110,Alexander Mattison,24,MIN,RB,1,0,0,0,0,0,,,,0.0,0.0,0,,MattAl01
111,Isaiah McKenzie,27,BUF,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,McKeIs00
112,Tre' McKitty,23,LAC,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,McKiTr00
113,D.K. Metcalf,25,SEA,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,MetcDK00
114,Quintin Morris,23,BUF,TE,2,1,0,0,0,0,,,,0.0,0.0,0,,MorrQu00
115,Johnny Mundt,28,MIN,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,MundJo00
116,Josh Oliver,25,BAL,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,OlivJo00
117,K.J. Osborn,25,MIN,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,OsboKJ00
118,Cade Otton,23,TAM,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,OttoCa00
119,Josh Palmer,23,LAC,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,PalmJo00
120,Donald Parham,25,LAC,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,ParhDo00
121,Colby Parkinson,23,SEA,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,ParkCo02
122,Zach Pascal,28,PHI,WR,3,1,0,0,0,0,,,,0.0,0.0,0,,PascZa00
123,Patrick Ricard,28,BAL,FB,1,1,0,0,0,0,,,,0.0,0.0,0,,RicaPa00
124,Demarcus Robinson,28,BAL,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,RobiDe01
125,Dalton Schultz,26,DAL,TE,2,2,0,0,0,0,,,,0.0,0.0,0,,SchuDa00
126,Khalil Shakir,22,BUF,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,ShakKh00
127,Trent Sherfield,26,MIA,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,SherTr00
128,DeVonta Smith,24,PHI,WR,3,3,0,0,0,0,,,,0.0,0.0,0,,SmitDe07
129,Irv Smith Jr.,24,MIN,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,SmitIr01
130,JuJu Smith-Schuster,26,KAN,WR,3,2,0,0,0,0,,,,0.0,0.0,0,,SmitJu00
131,Durham Smythe,27,MIA,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,SmytDu00
132,Jack Stoll,24,PHI,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,StolJa00
133,Adam Thielen,32,MIN,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,ThieAd00
134,KaVontae Turpin,26,DAL,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,TurpKa00
135,Marquez Valdes-Scantling,28,KAN,WR,3,2,0,0,0,0,,,,0.0,0.0,0,,ValdMa00
136,Quez Watkins,24,PHI,WR,2,1,0,0,0,0,,,,0.0,0.0,0,,WatkQu00
137,Sammy Watkins,29,BAL,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,WatkSa00
138,Justin Watson,26,KAN,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,WatsJu01
139,Mitchell Wilcox,26,CIN,TE,2,0,0,0,0,0,,,,0.0,0.0,0,,WilcMi01
140,Cedrick Wilson Jr.,27,MIA,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,WilsCe01
141,Dareke Young,23,SEA,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,YounDa02
,League Average,,,,,,,,,,51.6,,4.3,12.3,2.8,,,-9999
