"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Christian McCaffrey (SF)","16","272","1,459","5.4","852","3.1","607","2.2","15","25","-54","65","44","9","4","3","3","72","67","83","16","74"
"2","Raheem Mostert (LV)","15","209","1,012","4.8","547","2.6","465","2.2","16","22","-59","43","30","7","3","2","0","49","25","32","6","61"
"3","Travis Etienne Jr. (JAC)","17","267","1,008","3.8","573","2.1","435","1.6","31","30","-61","62","22","6","3","1","1","62","58","73","2","145"
"4","Kyren Williams (LAR)","12","228","1,144","5.0","685","3.0","459","2.0","23","15","-23","28","26","7","2","1","1","56","32","48","12","47"
"5","Derrick Henry (BAL)","17","280","1,167","4.2","566","2.0","601","2.1","23","27","-62","29","23","5","2","2","2","69","28","36","2","57"
"6","Joe Mixon (HOU)","17","257","1,034","4.0","671","2.6","363","1.4","10","22","-47","14","27","3","1","1","0","44","52","64","13","133"
"7","Breece Hall (NYJ)","17","223","994","4.5","500","2.2","494","2.2","19","31","-72","72","20","7","5","4","3","83","76","95","5","209"
"8","Rachaad White (TB)","17","272","990","3.6","594","2.2","396","1.5","9","17","-40","4","21","3","2","0","0","38","64","70","8","119"
"9","David Montgomery (DET)","14","219","1,015","4.6","511","2.3","504","2.3","17","15","-30","75","22","4","2","2","1","75","16","24","0","30"
"10","Jahmyr Gibbs (DET)","15","182","945","5.2","487","2.7","458","2.5","21","17","-39","27","27","10","4","0","0","36","52","71","7","73"
"11","James Cook (BUF)","17","237","1,122","4.7","640","2.7","482","2.0","8","22","-58","24","33","6","3","1","0","42","44","54","6","103"
"12","Bijan Robinson (ATL)","17","214","976","4.6","568","2.7","408","1.9","15","22","-49","13","30","7","2","0","0","38","58","86","10","100"
