,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
55,Jared Goff,30,DET,QB,1,1,1,7,0,1,100.0,7,7.0,7.0,1.0,1,,GoffJa00
56,Hassan Haskins,25,LAC,RB,1,0,1,5,0,1,100.0,5,5.0,5.0,1.0,0,,HaskHa00
57,Puka Nacua,23,LAR,WR,2,2,1,7,0,0,0.0,7,7.0,3.5,0.5,0,,NacuPu00
58,Samaje Perine,29,KAN,RB,3,0,1,8,0,1,100.0,8,8.0,2.7,0.3,0,,PeriSa00
59,Steven Sims,27,BAL,WR,2,0,1,15,0,1,100.0,15,15.0,7.5,0.5,1,,SimsSt00
60,Rachaad White,25,TAM,RB,1,0,1,1,0,0,0.0,1,1.0,1.0,1.0,0,,WhitRa01
61,Jameson Williams,23,DET,WR,1,1,1,61,1,1,100.0,61,61.0,61.0,1.0,0,,WillJa11
62,Jordan Addison,22,MIN,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,AddiJo00
63,Nelson Agholor,31,BAL,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,AghoNe00
64,Davis Allen,23,LAR,TE,1,0,0,0,0,0,,,,0.0,0.0,0,,AlleDa02
65,Tutu Atwell,25,LAR,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,AtweTu00
66,Calvin Austin III,25,PIT,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,AustCa00
67,Rashod Bateman,25,BAL,WR,2,2,0,0,0,0,,,,0.0,0.0,0,,BateRa00
68,John Bates,27,WAS,TE,3,3,0,0,0,0,,,,0.0,0.0,0,,BateJo00
69,Chris Brooks,24,GNB,RB,1,0,0,0,0,0,,,,0.0,0.0,0,,BrooCh00
70,A.J. Brown,27,PHI,WR,4,4,0,0,0,0,,,,0.0,0.0,0,,BrowAJ00
71,Dyami Brown,25,WAS,WR,3,2,0,0,0,0,,,,0.0,0.0,2,,BrowDy00
72,Marquise Brown,27,KAN,WR,3,1,0,0,0,0,,,,0.0,0.0,0,,BrowMa04
73,Grant Calcaterra,26,PHI,TE,1,1,0,0,0,0,,,,0.0,0.0,0,,CalcGr00
74,DJ Chark,28,LAC,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,CharDJ00
