"Rank","Player","G","REC","YDS","YBC","AIR","YAC","YACON","BRKTKL","TGT","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS"
"149","Marquise Brown (KC)","2","5","46","23","62","23","2","0","8","5","0","1","3","1","0","0","0"
"150","DJ Chark Jr. (ATL)","4","1","8","6","29","2","1","0","3","1","0","1","0","0","0","0","0"
"151","Parris Campbell (FA)","4","2","8","5","9","2","0","0","2","2","0","0","0","0","0","0","0"
"152","Xavier Gipson (NYJ)","17","0","2","1","7","1","0","0","1","0","0","0","0","0","0","0","0"
"153","Zay Jones (ARI)","11","1","8","6","9","2","1","0","1","1","0","0","0","0","0","0","0"
"154","Ryan Flournoy (DAL)","11","1","9","6","10","3","1","0","1","1","0","0","1","0","0","0","0"
"155","Devin Duvernay (CHI)","13","1","6","1","14","5","1","0","1","1","0","0","0","0","0","0","0"
"156","Jalen Reagor (LAC)","8","1","13","9","15","3","0","0","2","1","0","0","1","0","0","0","0"
"157","Chris Conley (FA)","9","1","8","6","23","2","0","0","1","1","0","0","0","0","0","0","0"
"158","Brandon Powell (FA)","17","0","4","3","6","1","0","0","1","0","0","0","0","0","0","0","0"
"159","Scotty Miller (PIT)","13","0","5","3","8","3","2","0","1","0","0","0","0","0","0","0","0"
"160","Ben Skowronek (PIT)","10","1","7","4","4","3","1","0","1","1","0","0","0","0","0","0","0"
"161","Jacob Cowing (SF)","15","0","5","4","5","2","0","0","0","0","0","0","0","0","0","0","0"
"162","River Cracraft (WAS)","5","1","13","11","14","2","1","0","2","2","0","0","1","0","0","0","0"
"163","Michael Woods II (FA)","5","1","13","6","41","7","3","0","3","2","0","1","1","0","0","0","0"
"164","Jalin Hyatt (NYG)","16","1","4","4","23","0","0","0","1","1","0","0","0","0","0","0","0"
"165","Laviska Shenault Jr. (BUF)","10","1","4","-1","-1","5","2","0","1","1","0","0","0","0","0","0","0"
"166","Odell Beckham Jr. (FA)","8","1","7","5","21","2","0","0","2","1","0","1","0","0","0","0","0"
"167","DeAndre Carter (CLE)","13","1","6","3","12","2","2","0","1","1","0","0","0","0","0","0","0"
"168","Nikko Remigio (KC)","5","0","10","7","13","3","1","0","1","1","0","0","0","0","0","0","0"
"169","Tyquan Thornton (KC)","4","1","12","6","32","6","4","0","2","1","0","0","1","0","0","0","0"
"170","Dee Eskridge (MIA)","6","1","7","3","3","5","1","0","1","1","0","0","0","0","0","0","0"
"171","Tim Jones (MIN)","8","0","5","3","5","2","0","0","1","0","0","0","0","0","0","0","0"
"172","Terrace Marshall Jr. (PHI)","5","1","8","7","10","1","1","0","1","1","0","0","0","0","0","0","0"
"173","Dan Chisena (FA)","6","1","6","5","5","2","0","0","1","1","0","0","0","0","0","0","0"
"174","Treylon Burks (TEN)","5","1","7","6","27","1","1","0","2","1","0","0","0","0","0","0","0"
"175","Britain Covey (LAR)","5","1","7","1","2","6","1","0","2","2","0","0","0","0","0","0","0"
"176","Alex Bachman (LV)","5","1","6","4","4","2","1","0","1","1","0","0","0","0","0","0","0"
"177","Allen Robinson II (FA)","6","1","5","4","9","1","0","0","1","1","0","0","0","0","0","0","0"
"178","David Bell (CLE)","1","3","27","19","19","8","6","0","3","3","0","1","1","0","0","0","0"
"179","Deven Thompkins (FA)","5","1","4","-2","-2","6","2","0","1","1","0","0","0","0","0","0","0"
"180","Malachi Corley (NYJ)","7","0","2","2","7","1","0","0","1","0","0","0","0","0","0","0","0"
"181","Jamari Thrash (CLE)","9","0","2","1","6","2","1","0","1","1","0","0","0","0","0","0","0"
"182","Ronnie Bell (DET)","4","1","6","5","16","1","1","0","2","1","1","0","1","0","0","0","0"
"183","Trenton Irwin (JAC)","6","1","3","2","10","1","0","0","2","1","0","1","0","0","0","0","0"
"184","Javon Baker (NE)","10","0","1","1","5","0","0","0","0","0","0","0","0","0","0","0","0"
"185","Grant DuBose (FA)","2","1","6","4","24","2","0","0","2","1","0","0","1","0","0","0","0"
"186","Robbie Chosen (SF)","1","1","5","4","47","1","0","0","4","1","0","2","0","0","0","0","0"
"187","James Proche II (TEN)","9","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"188","Braxton Berrios (HOU)","8","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0"
""
""
