,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,-additional
23,Amari Cooper,30,BUF,WR,3,1,8,6,41,6.8,0,1,50.0,10,2.0,13.7,75.0,5.1,0,,CoopAm00
24,Jahmyr Gibbs,22,DET,RB,1,0,11,6,70,11.7,0,5,45.5,23,6.0,70.0,54.5,6.4,0,,GibbJa01
25,Justice Hill,27,BAL,RB,2,0,6,6,20,3.3,1,3,66.7,7,3.0,10.0,100.0,3.3,0,,HillJu00
26,Dalton Kincaid,25,BUF,TE,3,0,9,6,71,11.8,0,2,55.6,35,2.0,23.7,66.7,7.9,0,,KincDa00
27,Cooper Kupp,31,LAR,WR,2,1,8,6,90,15.0,0,4,62.5,30,3.0,45.0,75.0,11.3,0,,KuppCo00
28,Sam LaPorta,23,DET,TE,1,1,7,6,51,8.5,1,3,71.4,14,6.0,51.0,85.7,7.3,0,,LaPoSa01
29,John Metchie,24,HOU,WR,2,1,10,6,63,10.5,0,3,50.0,24,3.0,31.5,60.0,6.3,1,,MetcJo00
30,Curtis Samuel,28,BUF,WR,3,0,8,6,81,13.5,2,4,62.5,55,2.0,27.0,75.0,10.1,0,,SamuCu00
31,Dalton Schultz,28,HOU,TE,2,1,8,6,86,14.3,0,4,50.0,34,3.0,43.0,75.0,10.8,0,,SchuDa00
32,Marquise Brown,27,KAN,WR,3,1,13,5,50,10.0,0,3,30.8,15,1.7,16.7,38.5,3.8,0,,BrowMa04
33,T.J. Hockenson,27,MIN,TE,1,0,5,5,64,12.8,1,3,60.0,26,5.0,64.0,100.0,12.8,0,,HockTJ00
34,Mack Hollins,31,BUF,WR,3,2,8,5,104,20.8,1,4,50.0,34,1.7,34.7,62.5,13.0,0,,HollMa00
35,Xavier Hutchinson,24,HOU,WR,2,1,7,5,86,17.2,0,2,71.4,34,2.5,43.0,71.4,12.3,0,,HutcXa00
36,Justin Jefferson,25,MIN,WR,1,1,8,5,58,11.6,0,2,25.0,22,5.0,58.0,62.5,7.3,0,,JeffJu00
37,Tucker Kraft,24,GNB,TE,1,1,5,5,26,5.2,0,1,60.0,12,5.0,26.0,100.0,5.2,0,,KrafTu00
38,George Pickens,23,PIT,WR,1,1,5,5,87,17.4,1,4,100.0,36,5.0,87.0,100.0,17.4,0,,PickGe00
39,Courtland Sutton,29,DEN,WR,1,1,9,5,75,15.0,0,4,44.4,21,5.0,75.0,55.6,8.3,0,,SuttCo00
40,Noah Gray,25,KAN,TE,2,0,4,4,15,3.8,0,0,25.0,6,2.0,7.5,100.0,3.8,0,,GrayNo00
41,Ty Johnson,27,BUF,RB,3,1,4,4,34,8.5,1,3,75.0,24,1.3,11.3,100.0,8.5,0,,JohnTy02
42,Dawson Knox,28,BUF,TE,3,3,6,4,45,11.3,0,2,50.0,25,1.3,15.0,66.7,7.5,0,,KnoxDa00
43,Anthony Miller,30,BAL,WR,2,0,4,4,28,7.0,0,1,50.0,16,2.0,14.0,100.0,7.0,0,,MillAn02
44,Colby Parkinson,25,LAR,TE,2,1,4,4,22,5.5,1,1,75.0,7,2.0,11.0,100.0,5.5,0,,ParkCo02
45,Jayden Reed,24,GNB,WR,1,1,4,4,46,11.5,0,3,100.0,20,4.0,46.0,100.0,11.5,0,,ReedJa03
46,Brian Robinson Jr.,25,WAS,RB,3,3,5,4,22,5.5,0,1,40.0,13,1.3,7.3,80.0,4.4,0,,RobiBr01
47,Demarcus Robinson,30,LAR,WR,2,2,9,4,97,24.3,0,4,44.4,48,2.0,48.5,44.4,10.8,0,,RobiDe01
48,JuJu Smith-Schuster,28,KAN,WR,3,3,6,4,76,19.0,0,3,66.7,31,1.3,25.3,66.7,12.7,0,,SmitJu00
49,Cade Stover,24,HOU,TE,1,0,4,4,28,7.0,0,1,75.0,11,4.0,28.0,100.0,7.0,0,,StovCa00
50,Jaylen Warren,26,PIT,RB,1,0,5,4,19,4.8,0,1,40.0,7,4.0,19.0,80.0,3.8,0,,WarrJa01
51,Kyren Williams,24,LAR,RB,2,2,5,4,15,3.8,1,1,20.0,6,2.0,7.5,80.0,3.0,1,,WillKy02
52,Jordan Addison,22,MIN,WR,1,1,8,3,29,9.7,0,2,37.5,15,3.0,29.0,37.5,3.6,0,,AddiJo00
53,John Bates,27,WAS,TE,3,3,5,3,31,10.3,0,2,40.0,20,1.0,10.3,60.0,6.2,0,,BateJo00
54,Keon Coleman,21,BUF,WR,3,2,8,3,22,7.3,0,1,25.0,12,1.0,7.3,37.5,2.8,0,,ColeKe02
55,Jamison Crowder,31,WAS,WR,2,0,5,3,29,9.7,0,1,20.0,13,1.5,14.5,60.0,5.8,0,,CrowJa00
56,Jahan Dotson,24,PHI,WR,2,1,5,3,53,17.7,1,3,60.0,27,1.5,26.5,60.0,10.6,0,,DotsJa00
57,Pat Freiermuth,26,PIT,TE,1,1,4,3,15,5.0,0,0,0.0,9,3.0,15.0,75.0,3.8,0,,FreiPa00
58,Kenneth Gainwell,25,PHI,RB,4,0,3,3,26,8.7,0,1,66.7,10,0.8,6.5,100.0,8.7,0,,GainKe00
59,Najee Harris,26,PIT,RB,1,1,3,3,41,13.7,0,1,100.0,21,3.0,41.0,100.0,13.7,0,,HarrNa00
60,DeAndre Hopkins,32,KAN,WR,3,2,8,3,29,9.7,1,3,37.5,11,1.0,9.7,37.5,3.6,0,,HopkDe00
61,Kareem Hunt,29,KAN,RB,3,0,3,3,13,4.3,0,0,66.7,6,1.0,4.3,100.0,4.3,0,,HuntKa00
62,Josh Jacobs,26,GNB,RB,1,1,3,3,40,13.3,0,3,100.0,15,3.0,40.0,100.0,13.3,1,,JacoJo01
63,Aaron Jones,30,MIN,RB,1,1,6,3,12,4.0,0,0,16.7,8,3.0,12.0,50.0,2.0,0,,JoneAa00
64,Joe Mixon,28,HOU,RB,2,2,5,3,25,8.3,0,1,40.0,13,1.5,12.5,60.0,5.0,1,,MixoJo00
65,Jalen Nailor,25,MIN,WR,1,0,5,3,33,11.0,0,2,40.0,14,3.0,33.0,60.0,6.6,0,,NailJa00
66,Isiah Pacheco,25,KAN,RB,3,3,5,3,17,5.7,0,2,40.0,10,1.0,5.7,60.0,3.4,0,,PachIs00
67,Kalif Raymond,30,DET,WR,1,0,3,3,37,12.3,0,2,100.0,15,3.0,37.0,100.0,12.3,0,,RaymKa00
68,Chris Brooks,24,GNB,RB,1,0,3,2,9,4.5,0,0,33.3,5,2.0,9.0,66.7,3.0,0,,BrooCh00
69,Will Dissly,28,LAC,TE,1,1,5,2,16,8.0,0,0,40.0,9,2.0,16.0,40.0,3.2,0,,DissWi00
70,Romeo Doubs,24,GNB,WR,1,1,2,2,13,6.5,0,1,100.0,7,2.0,13.0,100.0,6.5,0,,DoubRo00
71,Troy Franklin,21,DEN,WR,1,0,3,2,54,27.0,1,2,66.7,43,2.0,54.0,66.7,18.0,0,,FranTr00
72,Bucky Irving,22,TAM,RB,1,1,2,2,6,3.0,1,1,50.0,4,2.0,6.0,100.0,3.0,0,,IrviBu00
73,Van Jefferson,28,PIT,WR,1,1,2,2,37,18.5,1,1,50.0,30,2.0,37.0,100.0,18.5,0,,JeffVa00
74,Jalen McMillan,23,TAM,WR,1,1,4,2,41,20.5,0,2,50.0,26,2.0,41.0,50.0,10.3,0,,McMiJa01
75,Marvin Mims,22,DEN,WR,1,0,4,2,12,6.0,0,1,25.0,15,2.0,12.0,50.0,3.0,0,,MimsMa00
76,Johnny Mundt,30,MIN,TE,1,1,3,2,28,14.0,0,2,66.7,22,2.0,28.0,66.7,9.3,0,,MundJo00
77,Cade Otton,25,TAM,TE,1,1,2,2,32,16.0,0,2,100.0,20,2.0,32.0,100.0,16.0,0,,OttoCa00
78,Trent Sherfield,28,MIN,WR,1,0,3,2,8,4.0,0,0,33.3,7,2.0,8.0,66.7,2.7,0,,SherTr00
79,Tylan Wallace,25,BAL,WR,2,2,3,2,48,24.0,0,2,66.7,27,1.0,24.0,66.7,16.0,1,,WallTy00
80,Rachaad White,25,TAM,RB,1,0,2,2,14,7.0,0,0,0.0,13,2.0,14.0,100.0,7.0,0,,WhitRa01
81,Dontayvion Wicks,23,GNB,WR,1,1,6,2,39,19.5,0,2,33.3,29,2.0,39.0,33.3,6.5,0,,WickDo00
82,Javonte Williams,24,DEN,RB,1,1,2,2,14,7.0,0,0,100.0,7,2.0,14.0,100.0,7.0,0,,WillJa10
83,Robert Woods,32,HOU,WR,1,0,4,2,22,11.0,0,2,50.0,13,2.0,22.0,50.0,5.5,0,,WoodRo02
84,Nelson Agholor,31,BAL,WR,2,0,2,1,25,25.0,0,1,50.0,25,0.5,12.5,50.0,12.5,0,,AghoNe00
85,Davis Allen,23,LAR,TE,1,0,2,1,13,13.0,1,1,50.0,13,1.0,13.0,50.0,6.5,0,,AlleDa02
86,Tutu Atwell,25,LAR,WR,1,0,1,1,18,18.0,0,1,100.0,18,1.0,18.0,100.0,18.0,0,,AtweTu00
87,Calvin Austin III,25,PIT,WR,1,1,2,1,25,25.0,0,1,50.0,25,1.0,25.0,50.0,12.5,0,,AustCa00
88,Grant Calcaterra,26,PHI,TE,1,1,1,1,4,4.0,0,0,0.0,4,1.0,4.0,100.0,4.0,0,,CalcGr00
89,DJ Chark,28,LAC,WR,1,0,4,1,10,10.0,0,0,0.0,10,1.0,10.0,25.0,2.5,0,,CharDJ00
90,Derius Davis,24,LAC,WR,1,0,1,1,4,4.0,0,0,0.0,4,1.0,4.0,100.0,4.0,1,,DaviDe02
91,Tucker Fisk,25,LAC,TE,1,0,1,1,15,15.0,0,1,100.0,15,1.0,15.0,100.0,15.0,0,,FiskTu00
92,C.J. Ham,31,MIN,FB,1,0,1,1,8,8.0,0,0,100.0,8,1.0,8.0,100.0,8.0,0,,HamxC.00
93,Diontae Johnson,28,HOU,WR,1,0,1,1,12,12.0,0,0,0.0,12,1.0,12.0,100.0,12.0,0,,JohnDi01
94,Lucas Krull,26,DEN,TE,1,0,1,1,2,2.0,0,0,100.0,2,1.0,2.0,100.0,2.0,0,,KrulLu00
95,Hunter Long,26,LAR,TE,1,0,2,1,13,13.0,0,1,50.0,13,1.0,13.0,50.0,6.5,0,,LongHu00
96,Jaleel McLaughlin,24,DEN,RB,1,0,1,1,0,0.0,0,0,0.0,,1.0,0.0,100.0,0.0,0,,McLaJa00
97,Bo Melton,25,GNB,WR,1,0,3,1,16,16.0,0,1,33.3,16,1.0,16.0,33.3,5.3,0,,MeltBo00
98,Dare Ogunbowale,30,HOU,RB,2,0,1,1,0,0.0,0,0,0.0,,0.5,0.0,100.0,0.0,0,,OgunDa00
99,Josh Oliver,27,MIN,TE,1,1,1,1,5,5.0,0,0,100.0,5,1.0,5.0,100.0,5.0,0,,OlivJo00
100,Tim Patrick,31,DET,WR,1,0,4,1,22,22.0,0,1,25.0,22,1.0,22.0,25.0,5.5,0,,PatrTi00
101,Samaje Perine,29,KAN,RB,3,0,3,1,17,17.0,0,1,33.3,17,0.3,5.7,33.3,5.7,0,,PeriSa00
102,Steven Sims,27,BAL,WR,2,0,1,1,4,4.0,0,0,100.0,4,0.5,2.0,100.0,4.0,1,,SimsSt00
103,Ben Sinnott,22,WAS,TE,1,0,1,1,23,23.0,0,1,100.0,23,1.0,23.0,100.0,23.0,0,,SinnBe00
104,Irv Smith Jr.,26,HOU,TE,1,0,1,1,2,2.0,0,0,0.0,2,1.0,2.0,100.0,2.0,0,,SmitIr01
105,Adam Trautman,27,DEN,TE,1,1,1,1,2,2.0,0,0,0.0,2,1.0,2.0,100.0,2.0,0,,TrauAd00
106,Darnell Washington,23,PIT,TE,1,0,3,1,9,9.0,0,0,33.3,9,1.0,9.0,33.3,3.0,0,,WashDa03
107,Jordan Whittington,24,LAR,WR,1,0,1,1,12,12.0,0,1,100.0,12,1.0,12.0,100.0,12.0,0,,WhitJo04
108,Jameson Williams,23,DET,WR,1,1,4,1,19,19.0,0,1,25.0,19,1.0,19.0,25.0,4.8,0,,WillJa11
109,Mike Williams,30,PIT,WR,1,0,2,1,37,37.0,0,1,50.0,37,1.0,37.0,50.0,18.5,0,,WillMi07
110,Emanuel Wilson,25,GNB,RB,1,0,3,1,23,23.0,0,1,33.3,23,1.0,23.0,33.3,7.7,0,,WilsEm00
111,Cam Akers,25,MIN,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,AkerCa00
112,Josh Allen,28,BUF,QB,3,3,0,0,0,,0,0,,,0.0,0.0,,,3,,AlleJo02
113,Matt Araiza,24,KAN,P,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,AraiMa00
114,Tyler Badie,24,DEN,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,BadiTy00
115,Jayden Daniels,24,WAS,QB,3,3,0,0,0,,0,0,,,0.0,0.0,,,0,,DaniJa02
116,Sam Darnold,27,MIN,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,1,,DarnSa00
117,Ray Davis,25,BUF,RB,3,0,0,0,0,,0,0,,,0.0,0.0,,,1,,DaviRa04
118,J.K. Dobbins,26,LAC,RB,1,1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,DobbJK00
119,Gus Edwards,29,LAC,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,EdwaGu00
120,Jared Goff,30,DET,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,1,,GoffJa00
121,Hassan Haskins,25,LAC,RB,1,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,HaskHa00
122,Malik Heath,24,GNB,WR,1,0,4,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,HeatMa00
123,Derrick Henry,30,BAL,RB,2,2,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,HenrDe00
124,Jalen Hurts,26,PHI,QB,4,4,0,0,0,,0,0,,,0.0,0.0,,,1,SB MVP,HurtJa00
125,Lamar Jackson,27,BAL,QB,2,2,0,0,0,,0,0,,,0.0,0.0,,,1,,JackLa00
126,Quentin Johnston,23,LAC,WR,1,1,5,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,JohnQu02
127,Jordan Love,26,GNB,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,0,,LoveJo03
128,Patrick Mahomes,29,KAN,QB,3,3,0,0,0,,0,0,,,0.0,0.0,,,3,,MahoPa00
129,Marcus Mariota,31,WAS,QB,2,0,0,0,0,,0,0,,,0.0,0.0,,,0,,MariMa01
130,Baker Mayfield,29,TAM,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,1,,MayfBa00
131,Luke McCaffrey,23,WAS,WR,1,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,McCaLu00
132,Jeremy McNichols,29,WAS,RB,2,0,0,0,0,,0,0,,,0.0,0.0,,,0,,McNiJe00
133,David Montgomery,27,DET,RB,1,1,0,0,0,,0,0,,,0.0,0.0,,,0,,MontDa01
134,Bo Nix,24,DEN,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,0,,NixxBo00
135,Kenny Pickett,26,PHI,QB,2,0,0,0,0,,0,0,,,0.0,0.0,,,0,,PickKe00
136,Dameon Pierce,24,HOU,RB,2,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,PierDa01
137,Ronnie Rivers,25,LAR,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,RiveRo01
138,Will Shipley,22,PHI,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,ShipWi00
139,Matthew Stafford,36,LAR,QB,2,2,0,0,0,,0,0,,,0.0,0.0,,,2,,StafMa00
140,C.J. Stroud,23,HOU,QB,2,2,0,0,0,,0,0,,,0.0,0.0,,,2,,StroCJ00
141,Mitchell Trubisky,30,BUF,QB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,TrubMi00
142,Devaughn Vele,27,DEN,WR,1,0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,VeleDe00
143,Jared Wayne,24,HOU,WR,1,1,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,WaynJa01
144,Johnny Wilson,23,PHI,WR,1,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,WilsJo03
145,Russell Wilson,36,PIT,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,0,,WilsRu00
,League Average,,,,,,,,,,,,53.2,,2.0,24.1,69.0,8.2,,,-9999
