,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Xavier Worthy,21,KAN,WR,3,3,21,19,287,15.1,3,13,76.2,50,6.3,95.7,90.5,13.7,0,,WortXa00
2,Zach Ertz,34,WAS,TE,3,3,25,18,155,8.6,1,13,64.0,21,6.0,51.7,72.0,6.2,0,,ErtzZa00
3,Khalil Shakir,24,BUF,WR,3,3,20,18,174,9.7,0,7,60.0,34,6.0,58.0,90.0,8.7,0,,ShakKh00
4,Dallas Goedert,29,PHI,TE,4,4,20,17,215,12.6,1,9,70.0,31,4.3,53.8,85.0,10.8,0,,GoedDa00
5,DeVonta Smith,26,PHI,WR,4,4,17,16,190,11.9,1,7,88.2,46,4.0,47.5,94.1,11.2,0,,SmitDe07
6,Dyami Brown,25,WAS,WR,3,2,18,14,229,16.4,1,9,61.1,42,4.7,76.3,77.8,12.7,2,,BrowDy00
7,Terry McLaurin,29,WAS,WR,3,3,23,14,227,16.2,3,10,56.5,58,4.7,75.7,60.9,9.9,0,,McLaTe00
8,Saquon Barkley,27,PHI,RB,4,4,15,13,75,5.8,0,3,33.3,22,3.3,18.8,86.7,5.0,0,,BarkSa00
9,Travis Kelce,35,KAN,TE,3,3,18,13,175,13.5,1,7,61.1,49,4.3,58.3,72.2,9.7,0,,KelcTr00
10,A.J. Brown,27,PHI,WR,4,4,23,12,163,13.6,2,12,52.2,31,3.0,40.8,52.2,7.1,0,,BrowAJ00
11,Nico Collins,25,HOU,WR,2,2,16,12,203,16.9,1,11,68.8,41,6.0,101.5,75.0,12.7,0,,CollNi00
12,Austin Ekeler,29,WAS,RB,3,0,15,12,84,7.0,0,3,26.7,24,4.0,28.0,80.0,5.6,1,,EkelAu00
13,Tyler Higbee,31,LAR,TE,2,2,15,12,112,9.3,1,5,60.0,23,6.0,56.0,80.0,7.5,0,,HigbTy00
14,Puka Nacua,23,LAR,WR,2,2,23,11,141,12.8,0,6,39.1,37,5.5,70.5,47.8,6.1,0,,NacuPu00
15,Ladd McConkey,23,LAC,WR,1,1,14,9,197,21.9,1,8,64.3,86,9.0,197.0,64.3,14.1,0,,McCoLa00
16,Amon-Ra St. Brown,25,DET,WR,1,1,10,8,137,17.1,0,7,80.0,34,8.0,137.0,80.0,13.7,0,,StxxAm00
17,Mark Andrews,29,BAL,TE,2,2,10,7,88,12.6,0,5,60.0,20,3.5,44.0,70.0,8.8,1,,AndrMa00
18,Mike Evans,31,TAM,WR,1,1,7,7,92,13.1,1,7,100.0,23,7.0,92.0,100.0,13.1,0,,EvanMi00
19,Isaiah Likely,24,BAL,TE,2,0,9,7,126,18.0,1,4,66.7,39,3.5,63.0,77.8,14.0,0,,LikeIs00
20,Olamide Zaccheaus,27,WAS,WR,3,0,10,7,45,6.4,0,4,60.0,8,2.3,15.0,70.0,4.5,0,,ZaccOl01
21,Rashod Bateman,25,BAL,WR,2,2,7,6,90,15.0,2,4,57.1,42,3.0,45.0,85.7,12.9,0,,BateRa00
22,James Cook,25,BUF,RB,3,3,6,6,64,10.7,0,2,83.3,23,2.0,21.3,100.0,10.7,0,,CookJa01
