"Rank","Player","G","ATT","YDS","YBCON","YACON","BRKTKL","TK LOSS","TK LOSS YDS","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","REC","TGT","RZ TGT","YACON"
"1","Josh Jacobs (GB)","17","20","97","49","49","2","2","-3","2","0","0","0","0","3","4","0","4"
"2","Christian McCaffrey (SF)","17","14","67","40","27","1","1","-2","2","1","0","0","0","5","6","1","13"
"3","Derrick Henry (BAL)","16","22","96","46","50","2","2","-4","2","1","0","0","0","2","3","0","3"
"4","Austin Ekeler (WAS)","17","12","54","30","23","0","1","-2","1","0","0","0","0","6","7","1","11"
"5","Nick Chubb (HOU)","17","18","90","48","41","2","2","-4","3","1","0","0","0","2","2","0","3"
"6","Saquon Barkley (PHI)","16","18","82","47","35","1","2","-5","2","1","0","0","0","4","5","0","5"
"7","Jamaal Williams (FA)","17","15","63","38","25","1","1","-3","1","0","0","0","0","1","1","0","1"
"8","Tony Pollard (TEN)","16","12","63","32","31","1","1","-4","2","1","0","0","0","2","3","1","2"
"9","Dalvin Cook (FA)","17","16","69","40","29","1","2","-4","2","0","0","0","0","2","3","1","4"
"10","Miles Sanders (DAL)","17","15","75","49","25","1","1","-2","2","1","0","0","0","1","2","0","1"
"11","Aaron Jones Sr. (MIN)","17","13","66","38","28","1","1","-3","2","0","0","0","0","3","4","1","4"
"12","Najee Harris (LAC)","17","16","61","34","27","1","1","-3","1","0","0","0","0","2","3","0","4"
"13","Joe Mixon (HOU)","15","14","55","34","21","1","1","-2","1","0","0","0","0","4","5","1","8"
"14","Rhamondre Stevenson (NE)","17","12","61","35","26","1","1","-3","2","0","0","0","0","4","5","0","7"
"15","Kenneth Walker III (SEA)","15","15","70","41","29","1","2","-6","2","1","0","0","0","2","2","0","2"
"16","Travis Etienne Jr. (JAC)","17","13","66","43","23","1","2","-3","2","0","0","0","0","2","3","0","2"
"17","Ezekiel Elliott (FA)","15","15","58","35","24","1","1","-2","1","0","0","0","0","1","2","0","1"
"18","Alvin Kamara (NO)","15","15","60","30","30","0","1","-2","1","0","0","0","0","4","5","1","8"
"19","James Conner (ARI)","13","14","60","34","26","0","1","-1","1","0","0","0","0","4","4","0","6"
"20","Leonard Fournette (FA)","16","12","42","24","18","0","1","-2","1","0","0","0","0","5","5","1","12"
"21","David Montgomery (DET)","16","13","50","26","24","1","1","-3","1","0","0","0","0","2","3","0","7"
"22","Tyler Allgeier (ATL)","16","13","65","38","27","0","1","-2","1","0","0","0","0","1","1","0","3"
"23","D'Andre Swift (CHI)","14","7","39","28","12","0","1","-2","1","0","0","0","0","3","5","1","5"
"24","Jerick McKinnon (FA)","17","4","17","11","7","0","0","-1","0","0","0","0","0","3","4","1","4"
"25","Devin Singletary (NYG)","17","10","48","32","16","1","1","-3","1","0","0","0","0","2","3","0","3"
"26","A.J. Dillon (PHI)","17","11","45","27","19","0","1","-1","1","0","0","0","0","2","3","0","3"
"27","Raheem Mostert (LV)","16","11","56","31","24","1","1","-2","2","0","0","0","0","2","3","0","5"
"28","Jeff Wilson Jr. (SF)","16","11","54","36","17","1","1","-1","2","0","0","0","0","1","2","0","2"
"29","Dameon Pierce (HOU)","13","17","72","33","39","2","2","-5","2","1","0","0","0","2","3","0","4"
"30","Cordarrelle Patterson (FA)","13","11","53","32","22","0","1","-3","1","0","0","0","0","2","2","0","0"
"31","Cam Akers (NO)","15","13","52","25","28","1","1","-3","1","0","0","0","0","1","1","0","2"
"32","Latavius Murray (FA)","14","12","54","34","21","0","1","-2","1","0","0","0","0","2","3","0","1"
"33","D'Onta Foreman (FA)","16","13","57","32","26","1","1","-2","1","1","0","0","0","0","1","0","1"
"34","Isiah Pacheco (KC)","17","10","49","31","18","0","0","-1","1","0","0","0","0","1","1","0","2"
"35","Antonio Gibson (NE)","15","10","36","22","15","0","1","-2","1","0","0","0","0","3","4","0","3"
"36","Jonathan Taylor (IND)","12","16","72","40","32","2","1","-3","2","0","0","0","0","2","3","0","4"
"37","Khalil Herbert (IND)","13","10","56","33","23","1","1","-1","2","0","0","0","0","1","1","0","1"
"38","Samaje Perine (CIN)","16","6","25","15","10","0","0","-1","0","0","0","0","0","2","3","0","5"
"39","Brian Robinson Jr. (WAS)","12","17","66","37","29","1","1","-2","2","0","0","0","0","1","1","0","1"
"40","Breece Hall (NYJ)","7","11","66","47","19","0","1","-3","2","0","0","0","0","3","4","1","6"
"41","Kareem Hunt (KC)","17","7","28","14","14","0","1","-2","1","0","0","0","0","2","3","0","3"
"42","Rachaad White (TB)","17","8","28","19","10","0","1","-1","0","0","0","0","0","3","3","0","4"
"43","Kenyan Drake (FA)","12","9","40","30","11","0","1","-3","1","0","0","0","0","1","2","0","1"
"44","James Cook (BUF)","17","5","31","20","10","0","0","0","1","0","0","0","0","1","2","0","1"
"45","Michael Carter (ARI)","16","7","25","17","8","0","1","-1","0","0","0","0","0","3","3","1","2"
"46","Clyde Edwards-Helaire (NO)","10","7","30","13","17","0","0","-1","1","0","0","0","0","2","2","1","5"
"47","James Robinson (FA)","11","10","39","26","13","1","1","-2","1","0","0","0","0","1","1","0","0"
"48","J.K. Dobbins (DEN)","8","12","65","40","25","1","1","-2","2","1","0","0","0","1","1","0","1"
"49","Damien Harris (FA)","11","10","42","28","14","0","1","-2","1","0","0","0","0","2","2","1","3"
"50","Chuba Hubbard (CAR)","14","7","33","21","12","0","0","-1","1","0","0","0","0","1","1","0","4"
"51","Alexander Mattison (MIA)","17","4","17","10","7","0","1","-1","1","0","0","0","0","1","1","0","1"
"52","Jaylen Warren (PIT)","16","5","24","15","9","0","0","0","1","0","0","0","0","2","2","0","5"
"53","Kenneth Gainwell (PIT)","17","3","14","10","4","0","0","0","0","0","0","0","0","1","2","0","2"
"54","Eno Benjamin (FA)","13","6","24","12","12","1","1","-2","0","0","0","0","0","2","3","0","4"
"55","Melvin Gordon III (FA)","10","9","32","17","15","1","1","-2","0","0","0","0","0","3","3","0","2"
"56","Gus Edwards (FA)","9","10","48","27","21","1","1","-1","1","0","0","0","0","0","0","0","0"
"57","Chase Edmonds (FA)","13","5","19","12","7","0","1","-2","0","0","0","0","0","1","2","0","2"
"58","Darrell Henderson Jr. (FA)","10","7","28","18","10","0","0","0","1","0","0","0","0","2","2","0","2"
"59","Dontrell Hilliard (FA)","12","2","12","9","3","0","0","0","0","0","0","0","0","2","2","1","2"
"60","Deon Jackson (DET)","12","6","20","11","9","0","1","-1","1","0","0","0","0","3","3","0","5"
"61","Zack Moss (FA)","13","7","35","20","15","1","0","-1","1","0","0","0","0","1","1","0","1"
"62","Nyheim Miller-Hines (LAC)","16","2","2","2","1","0","0","-1","0","0","0","0","0","2","2","0","3"
"63","Joshua Kelley (FA)","12","6","24","14","10","0","0","0","1","0","0","0","0","1","2","0","1"
"64","JaMycal Hasty (NE)","14","3","14","10","4","0","1","-2","0","0","0","0","0","2","2","0","2"
"65","Rashaad Penny (FA)","5","11","69","34","35","0","1","-1","2","1","1","0","0","1","1","0","1"
"66","Zonovan Knight (ARI)","7","12","43","31","12","0","2","-4","1","0","0","0","0","2","2","0","3"
"67","Caleb Huntley (FA)","12","6","31","18","12","0","0","0","1","0","0","0","0","0","0","0","0"
"68","Boston Scott (FA)","15","4","14","11","3","0","1","-1","0","0","0","0","0","0","0","0","0"
"69","Elijah Mitchell (KC)","5","9","56","34","22","0","0","0","2","0","0","0","0","1","1","0","0"
"70","Matt Breida (FA)","17","3","13","9","4","0","0","-1","0","0","0","0","0","1","1","0","1"
"71","Justin Jackson (FA)","15","3","11","6","5","0","0","-1","0","0","0","0","0","1","1","0","2"
"72","Kyle Juszczyk (SF)","13","1","2","1","1","0","0","0","0","0","0","0","0","1","2","0","4"
"73","Rex Burkhead (FA)","15","2","5","3","2","0","0","-1","0","0","0","0","0","2","3","1","1"
"74","Mark Ingram II (FA)","10","6","23","14","9","0","0","-1","0","0","0","0","0","2","2","1","2"
"75","Raheem Blackshear (CAR)","13","2","6","3","3","0","0","-1","0","0","0","0","0","1","1","0","2"
"76","Jordan Mason (MIN)","12","4","22","10","11","0","0","-1","1","0","0","0","0","0","0","0","0"
"77","Ty Johnson (BUF)","12","3","13","6","7","1","0","-1","1","0","0","0","0","1","2","0","0"
"78","Marlon Mack (FA)","8","2","11","8","3","0","0","0","0","0","0","0","0","1","1","0","5"
"79","DeeJay Dallas (ARI)","15","2","12","9","4","0","0","0","0","0","0","0","0","1","1","0","1"
"80","Justice Hill (BAL)","15","3","17","12","6","0","0","0","1","0","0","0","0","1","1","0","1"
"81","Ameer Abdullah (SF)","16","0","1","1","0","0","0","0","0","0","0","0","0","2","2","0","2"
"82","J.D. McKissic (FA)","9","2","11","7","3","0","0","0","0","0","0","0","0","3","4","0","2"
"83","Dare Ogunbowale (HOU)","15","3","8","6","2","0","0","0","0","0","0","0","0","1","2","0","1"
"84","Malik Davis (DAL)","6","6","27","19","8","0","1","-2","1","0","0","0","0","1","1","0","2"
"85","Travis Homer (CHI)","12","2","6","4","3","0","0","0","0","0","0","0","0","1","2","0","2"
"86","Javonte Williams (DAL)","4","12","51","24","28","2","1","-3","2","0","0","0","0","4","6","2","9"
"87","Gary Brightwell (CIN)","15","2","9","5","4","0","0","0","0","0","0","0","0","0","1","0","1"
"88","Alec Ingold (MIA)","13","0","1","0","0","0","0","0","0","0","0","0","0","1","2","0","2"
"89","Craig Reynolds (DET)","7","3","15","10","5","0","0","-1","0","0","0","0","0","1","1","0","2"
"90","Kyren Williams (LAR)","8","4","17","10","8","0","1","-1","0","0","0","0","0","1","2","0","3"
"91","C.J. Ham (MIN)","12","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"92","Avery Williams (PHI)","17","1","6","5","2","0","0","-1","0","0","0","0","0","1","1","0","0"
"93","Pierre Strong Jr. (CLE)","10","1","10","8","2","0","0","0","0","0","0","0","0","1","1","0","0"
"94","Mike Boone (MIA)","8","3","13","9","4","0","0","0","1","0","0","0","0","1","2","0","2"
"95","Jonathan Williams (FA)","9","4","17","7","10","0","0","-1","0","0","0","0","0","1","1","0","0"
"96","Tevin Coleman (FA)","3","4","9","4","4","0","1","-2","0","0","0","0","0","1","1","0","1"
"97","Brandon Bolden (FA)","12","1","6","4","1","0","0","0","0","0","0","0","0","1","1","0","1"
"98","Malcolm Brown (FA)","7","3","12","9","3","0","0","-1","0","0","0","0","0","1","1","0","0"
"99","Darrel Williams (FA)","5","4","20","15","5","0","0","0","0","0","0","0","0","1","2","0","1"
"100","Corey Clement (FA)","5","3","11","8","3","0","0","0","0","0","0","0","0","1","1","0","3"
"101","Benny Snell Jr. (FA)","9","2","10","6","4","0","0","0","0","0","0","0","0","0","0","0","1"
"102","Sony Michel (FA)","10","4","11","4","6","0","0","-1","0","0","0","0","0","1","1","0","1"
"103","Ronald Jones II (FA)","5","3","14","9","5","0","0","0","0","0","0","0","0","0","0","0","1"
"104","Derek Watt (FA)","12","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"105","Hassan Haskins (LAC)","14","2","7","2","5","0","0","0","0","0","0","0","0","1","1","0","1"
"106","Keaontay Ingram (KC)","11","2","5","2","3","0","0","-1","0","0","0","0","0","0","0","0","2"
"107","Zander Horvath (FA)","8","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0"
"108","Salvon Ahmed (IND)","7","2","9","5","4","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Royce Freeman (FA)","5","8","23","18","5","0","1","-3","0","0","0","0","0","1","2","0","1"
"110","Kevin Harris (FA)","5","4","10","6","5","1","1","-1","0","0","0","0","0","0","0","0","0"
"111","Snoop Conner (FA)","5","2","8","6","2","0","0","0","0","0","0","0","0","0","0","0","0"
"112","Tyrion Davis-Price (GB)","5","7","20","9","11","0","1","-2","0","0","0","0","0","0","0","0","0"
"113","Darrynton Evans (BUF)","3","5","21","12","9","0","0","0","0","0","0","0","0","0","0","0","4"
"114","Kene Nwangwu (NYJ)","14","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"115","Patrick Ricard (BAL)","13","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","2"
"116","Phillip Lindsay (FA)","3","5","16","10","6","0","0","-1","0","0","0","0","0","2","3","0","0"
"117","Jordan Wilkins (FA)","4","3","15","10","4","0","0","0","0","0","0","0","0","2","2","1","2"
"118","Tyler Badie (DEN)","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","9"
"119","Jaret Patterson (LAC)","2","9","39","20","19","0","0","0","1","0","0","0","0","0","1","0","0"
"120","Ty Montgomery II (FA)","1","2","-2","0","0","0","1","-2","0","0","0","0","0","3","4","1","3"
"121","Ke'Shawn Vaughn (SF)","9","2","6","5","1","0","0","-1","0","0","0","0","0","0","0","0","0"
"122","Zamir White (LV)","11","2","6","4","3","0","0","-1","0","0","0","0","0","0","0","0","0"
"123","Trayveon Williams (CLE)","9","1","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0"
"124","Tony Jones Jr. (FA)","3","3","8","3","5","0","1","-1","0","0","0","0","0","2","3","0","0"
"125","Isaiah Spiller (FA)","5","4","8","3","5","0","1","-2","0","0","0","0","0","1","1","0","0"
"126","Myles Gaskin (BAL)","2","5","13","7","6","0","1","-1","1","0","0","0","0","2","3","2","5"
"127","Spencer Brown (FA)","2","5","22","16","6","0","0","0","0","0","0","0","0","1","2","0","1"
"128","Julius Chestnut (TEN)","6","2","2","1","1","0","1","-1","0","0","0","0","0","1","1","0","2"
"129","David Johnson (FA)","4","3","6","2","5","0","0","-1","0","0","0","0","0","1","1","0","2"
"130","Ronnie Rivers (LAR)","2","5","11","8","3","0","0","0","0","0","0","0","0","3","3","1","6"
"131","Patrick Taylor Jr. (SF)","7","1","4","2","3","0","0","0","0","0","0","0","0","0","0","0","0"
"132","Dwayne Washington (FA)","7","2","5","2","3","0","0","0","0","0","0","0","0","0","0","0","0"
"133","Trestan Ebner (FA)","11","2","5","2","3","0","1","-2","0","0","0","0","0","0","1","0","0"
"134","Anthony McFarland Jr. (FA)","1","6","30","16","14","1","1","-1","1","0","0","0","0","2","2","0","3"
"135","Larry Rountree III (FA)","3","4","6","3","4","0","1","-2","0","0","0","0","0","1","1","0","1"
"136","Jonathan Ward (NYG)","4","1","6","4","2","0","1","-1","1","0","0","0","0","1","1","0","1"
"137","Giovani Bernard (FA)","4","2","7","7","1","0","0","0","0","0","0","0","0","1","1","0","0"
"138","D'Ernest Johnson (BAL)","10","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"139","Mike Davis (FA)","5","2","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0"
"140","Ty Chandler (MIN)","2","3","10","4","6","0","0","0","1","0","0","0","0","0","0","0","0"
"141","Trey Sermon (PIT)","1","2","19","10","9","0","0","0","1","0","0","0","0","0","0","0","0"
"142","Adam Prentice (FA)","6","1","2","1","1","0","0","0","0","0","0","0","0","1","1","0","1"
"143","Michael Burton (DEN)","12","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","J.J. Taylor (HOU)","1","10","9","4","5","1","3","-6","0","0","0","0","0","1","1","0","3"
"145","Jerome Ford (CLE)","13","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"146","Keith Smith (FA)","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"147","Reggie Bonnafon (FA)","1","3","8","5","3","0","1","-1","0","0","0","0","0","0","0","0","0"
"148","Godwin Igwebuike (FA)","5","1","1","0","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"149","Kylin Hill (FA)","1","1","7","2","5","0","0","0","0","0","0","0","0","0","0","0","0"
"150","Devine Ozigbo (FA)","3","1","1","0","1","0","0","-1","0","0","0","0","0","0","0","0","0"
"151","Demetric Felton Jr. (WAS)","6","0","-1","0","0","0","0","-1","0","0","0","0","0","0","1","0","0"
"152","Duke Johnson Jr. (FA)","1","2","4","1","3","0","0","0","0","0","0","0","0","0","0","0","0"
"153","Damien Williams (FA)","1","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"154","Jordan Howard (FA)","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
""
""
