,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,-additional
28,Kenneth Gainwell,23,PHI,RB,3,0,9,7,55,7.9,0,1,55.6,17,2.3,18.3,77.8,6.1,0,,GainKe00
29,Tyreek Hill,28,MIA,WR,1,1,15,7,69,9.9,0,4,40.0,19,7.0,69.0,46.7,4.6,0,,HillTy00
30,Justin Jefferson,23,MIN,WR,1,1,9,7,47,6.7,0,3,77.8,10,7.0,47.0,77.8,5.2,0,,JeffJu00
31,Julio Jones,33,TAM,WR,1,0,11,7,74,10.6,1,3,45.5,30,7.0,74.0,63.6,6.7,0,,JoneJu02
32,Kadarius Toney,23,KAN,WR,3,1,10,7,50,7.1,1,3,70.0,9,2.3,16.7,70.0,5.0,0,,ToneKa00
33,Marquez Valdes-Scantling,28,KAN,WR,3,2,11,7,122,17.4,2,7,63.6,29,2.3,40.7,63.6,11.1,0,,ValdMa00
34,Brandon Aiyuk,24,SFO,WR,3,3,10,6,109,18.2,0,6,60.0,31,2.0,36.3,60.0,10.9,0,,AiyuBr00
35,Keenan Allen,30,LAC,WR,1,1,13,6,61,10.2,0,4,46.2,23,6.0,61.0,46.2,4.7,0,,AlleKe00
36,Tyler Boyd,28,CIN,WR,3,3,7,6,89,14.8,0,5,85.7,24,2.0,29.7,85.7,12.7,0,,BoydTy00
37,Dalvin Cook,27,MIN,RB,1,1,7,6,10,1.7,0,1,28.6,6,6.0,10.0,85.7,1.4,0,,CookDa01
38,Mike Evans,29,TAM,WR,1,1,11,6,74,12.3,0,4,45.5,20,6.0,74.0,54.5,6.7,0,,EvanMi00
39,Gerald Everett,28,LAC,TE,1,1,8,6,109,18.2,1,5,62.5,25,6.0,109.0,75.0,13.6,0,,EverGe00
40,Tyler Lockett,30,SEA,WR,1,1,8,6,39,6.5,0,3,62.5,10,6.0,39.0,75.0,4.9,0,,LockTy00
41,Isiah Pacheco,23,KAN,RB,3,3,7,6,65,10.8,0,3,71.4,18,2.0,21.7,85.7,9.3,0,,PachIs00
42,Mark Andrews,27,BAL,TE,1,1,10,5,73,14.6,0,3,40.0,29,5.0,73.0,50.0,7.3,0,,AndrMa00
43,Cole Beasley,33,BUF,WR,2,0,9,5,68,13.6,1,5,55.6,29,2.5,34.0,55.6,7.6,0,,BeasCo00
44,Michael Gallup,26,DAL,WR,2,2,9,5,46,9.2,1,4,55.6,15,2.5,23.0,55.6,5.1,0,,GallMi00
45,Jerick McKinnon,30,KAN,RB,3,0,7,5,32,6.4,0,1,57.1,13,1.7,10.7,71.4,4.6,0,,McKiJe00
46,Skyy Moore,22,KAN,WR,3,0,9,5,17,3.4,1,1,22.2,8,1.7,5.7,55.6,1.9,0,,MoorSk01
47,Tony Pollard,25,DAL,RB,2,0,6,5,23,4.6,0,1,33.3,8,2.5,11.5,83.3,3.8,0,,PollTo00
48,Khalil Shakir,22,BUF,WR,2,0,7,5,91,18.2,0,4,71.4,31,2.5,45.5,71.4,13.0,0,,ShakKh00
49,Devin Singletary,25,BUF,RB,2,2,8,5,37,7.4,0,1,37.5,16,2.5,18.5,62.5,4.6,0,,SingDe00
50,Darius Slayton,25,NYG,WR,2,2,13,5,92,18.4,0,4,38.5,47,2.5,46.0,38.5,7.1,0,,SlayDa01
51,Noah Brown,26,DAL,WR,2,0,4,4,39,9.8,0,2,50.0,18,2.0,19.5,100.0,9.8,0,,BrowNo00
52,J.K. Dobbins,24,BAL,RB,1,1,5,4,43,10.8,1,3,60.0,27,4.0,43.0,80.0,8.6,0,,DobbJK00
53,Travis Etienne,23,JAX,RB,2,2,4,4,30,7.5,0,2,100.0,12,2.0,15.0,100.0,7.5,0,,EtieTr00
54,Jauan Jennings,25,SFO,WR,2,0,7,4,67,16.8,0,4,57.1,33,2.0,33.5,57.1,9.6,0,,JennJa00
55,Marvin Jones,32,JAX,WR,2,1,9,4,50,12.5,1,4,44.4,21,2.0,25.0,44.4,5.6,0,,JoneMa02
56,Cade Otton,23,TAM,TE,1,1,7,4,58,14.5,0,4,57.1,17,4.0,58.0,57.1,8.3,0,,OttoCa00
57,Donald Parham,25,LAC,TE,1,1,5,4,23,5.8,0,1,40.0,12,4.0,23.0,80.0,4.6,0,,ParhDo00
58,Rachaad White,23,TAM,RB,1,1,6,4,36,9.0,0,2,66.7,11,4.0,36.0,66.7,6.0,0,,WhitRa01
59,Jamal Agnew,27,JAX,WR,2,0,4,3,7,2.3,0,0,0.0,3,1.5,3.5,75.0,1.8,1,,AgneJa00
60,Salvon Ahmed,24,MIA,RB,1,0,5,3,45,15.0,0,2,60.0,20,3.0,45.0,60.0,9.0,0,,AhmeSa01
61,Daniel Bellinger,22,NYG,TE,2,2,5,3,21,7.0,1,2,40.0,9,1.5,10.5,60.0,4.2,0,,BellDa00
62,Ezekiel Elliott,27,DAL,RB,2,2,6,3,16,5.3,0,0,33.3,9,1.5,8.0,50.0,2.7,0,,ElliEz00
63,Noah Gray,23,KAN,TE,3,3,4,3,37,12.3,0,1,75.0,27,1.0,12.3,75.0,9.3,0,,GrayNo00
64,T.Y. Hilton,33,DAL,WR,2,0,5,3,38,12.7,0,2,60.0,15,1.5,19.0,60.0,7.6,0,,HiltT.00
65,Cade Johnson,24,SEA,WR,1,0,3,3,39,13.0,0,2,66.7,24,3.0,39.0,100.0,13.0,0,,JohnCa03
66,Colby Parkinson,23,SEA,TE,1,1,6,3,14,4.7,0,0,33.3,5,3.0,14.0,50.0,2.3,0,,ParkCo02
67,Zach Pascal,28,PHI,WR,3,1,4,3,15,5.0,0,1,50.0,9,1.0,5.0,75.0,3.8,0,,PascZa00
68,Adam Thielen,32,MIN,WR,1,1,4,3,50,16.7,0,3,75.0,25,3.0,50.0,75.0,12.5,0,,ThieAd00
69,Jaylen Waddle,24,MIA,WR,1,1,7,3,44,14.7,0,1,28.6,25,3.0,44.0,42.9,6.3,0,,WaddJa00
70,Justin Watson,26,KAN,WR,2,0,3,3,30,10.0,0,3,100.0,12,1.5,15.0,100.0,10.0,0,,WatsJu01
71,Lawrence Cager,25,NYG,WR,2,0,3,2,20,10.0,0,1,66.7,16,1.0,10.0,66.7,6.7,0,,CageLa01
72,DeAndre Carter,29,LAC,WR,1,0,3,2,17,8.5,0,1,33.3,14,2.0,17.0,66.7,5.7,0,,CartDe02
73,Austin Ekeler,27,LAC,RB,1,1,4,2,8,4.0,0,0,0.0,4,2.0,8.0,50.0,2.0,0,,EkelAu00
74,Russell Gage,26,TAM,WR,1,0,8,2,10,5.0,0,0,12.5,7,2.0,10.0,25.0,1.3,0,,GageRu00
75,Mike Gesicki,27,MIA,TE,1,0,6,2,15,7.5,1,2,33.3,8,2.0,15.0,33.3,2.5,0,,GesiMi00
76,Mecole Hardman,24,KAN,WR,1,0,3,2,10,5.0,0,1,33.3,11,2.0,10.0,66.7,3.3,0,,HardMe00
77,Justice Hill,25,BAL,RB,1,0,2,2,10,5.0,0,0,50.0,9,2.0,10.0,100.0,5.0,0,,HillJu00
78,Nyheim Hines,26,BUF,RB,2,0,3,2,11,5.5,0,0,33.3,7,1.0,5.5,66.7,3.7,1,,HineNy00
79,Trenton Irwin,27,CIN,WR,2,0,4,2,19,9.5,0,1,25.0,13,1.0,9.5,50.0,4.8,0,,IrwiTr00
80,Isaiah McKenzie,27,BUF,WR,1,1,2,2,10,5.0,0,0,50.0,8,2.0,10.0,100.0,5.0,0,,McKeIs00
81,Tre' McKitty,23,LAC,TE,1,1,2,2,16,8.0,0,0,50.0,11,2.0,16.0,100.0,8.0,0,,McKiTr00
82,Elijah Mitchell,24,SFO,RB,2,0,3,2,25,12.5,1,2,66.7,18,1.0,12.5,66.7,8.3,0,,MitcEl00
83,Quintin Morris,23,BUF,TE,2,1,3,2,18,9.0,0,1,66.7,12,1.0,9.0,66.7,6.0,0,,MorrQu00
84,Josh Oliver,25,BAL,TE,1,1,2,2,26,13.0,0,2,100.0,19,2.0,26.0,100.0,13.0,0,,OlivJo00
85,K.J. Osborn,25,MIN,WR,1,1,3,2,20,10.0,1,1,33.3,11,2.0,20.0,66.7,6.7,0,,OsboKJ00
86,Josh Palmer,23,LAC,WR,1,0,6,2,31,15.5,0,2,33.3,18,2.0,31.0,33.3,5.2,0,,PalmJo00
87,Demarcus Robinson,28,BAL,WR,1,0,3,2,49,24.5,1,1,66.7,41,2.0,49.0,66.7,16.3,0,,RobiDe01
88,Mitchell Wilcox,26,CIN,TE,2,0,4,2,19,9.5,0,1,50.0,10,1.0,9.5,50.0,4.8,0,,WilcMi01
89,Blake Bell,31,KAN,TE,1,0,2,1,4,4.0,0,0,50.0,4,1.0,4.0,50.0,2.0,0,,BellBl00
90,Cameron Brate,31,TAM,TE,1,0,3,1,8,8.0,1,1,33.3,8,1.0,8.0,33.3,2.7,0,,BratCa00
91,Matt Breida,27,NYG,RB,2,0,1,1,19,19.0,0,1,100.0,19,0.5,9.5,100.0,19.0,0,,BreiMa00
92,Kirk Cousins,34,MIN,QB,1,1,1,1,-2,-2.0,0,0,0.0,-2,1.0,-2.0,100.0,-2.0,0,,CousKi00
93,Gus Edwards,27,BAL,RB,1,0,1,1,13,13.0,0,1,100.0,13,1.0,13.0,100.0,13.0,0,,EdwaGu00
94,Noah Fant,25,SEA,TE,1,1,2,1,11,11.0,0,1,50.0,11,1.0,11.0,50.0,5.5,0,,FantNo00
95,Jake Ferguson,23,DAL,TE,1,1,1,1,34,34.0,0,1,100.0,34,1.0,34.0,100.0,34.0,0,,FergJa00
96,Leonard Fournette,27,TAM,RB,1,0,1,1,6,6.0,0,1,100.0,6,1.0,6.0,100.0,6.0,0,,FourLe00
97,Jamycal Hasty,26,JAX,RB,1,0,2,1,7,7.0,0,1,50.0,7,1.0,7.0,50.0,3.5,0,,HastJa02
98,Marcus Johnson,28,NYG,WR,1,0,1,1,17,17.0,0,1,100.0,17,1.0,17.0,100.0,17.0,0,,JohnMa07
99,Kyle Juszczyk,31,SFO,FB,2,2,1,1,6,6.0,0,0,100.0,6,0.5,3.0,100.0,6.0,0,,JuszKy00
100,Joshua Kelley,25,LAC,RB,1,0,1,1,8,8.0,0,0,0.0,8,1.0,8.0,100.0,8.0,0,,KellJo01
101,Marcus Kemp,27,KAN,WR,1,0,1,1,13,13.0,0,1,100.0,13,1.0,13.0,100.0,13.0,0,,KempMa00
102,Alexander Mattison,24,MIN,RB,1,0,1,1,2,2.0,0,0,0.0,2,1.0,2.0,100.0,2.0,0,,MattAl01
103,Johnny Mundt,28,MIN,TE,1,0,1,1,12,12.0,0,1,100.0,12,1.0,12.0,100.0,12.0,0,,MundJo00
104,Miles Sanders,25,PHI,RB,3,3,2,1,3,3.0,0,0,0.0,3,0.3,1.0,50.0,1.5,1,,SandMi01
105,Boston Scott,27,PHI,RB,3,0,1,1,9,9.0,0,0,100.0,9,0.3,3.0,100.0,9.0,0,,ScotBo02
106,Irv Smith Jr.,24,MIN,TE,1,0,2,1,3,3.0,1,1,50.0,3,1.0,3.0,50.0,1.5,0,,SmitIr01
107,Durham Smythe,27,MIA,TE,1,1,1,1,20,20.0,0,1,100.0,20,1.0,20.0,100.0,20.0,0,,SmytDu00
108,Jack Stoll,24,PHI,TE,1,1,1,1,5,5.0,0,0,0.0,5,1.0,5.0,100.0,5.0,0,,StolJa00
109,KaVontae Turpin,26,DAL,WR,1,0,1,1,8,8.0,0,0,0.0,8,1.0,8.0,100.0,8.0,0,,TurpKa00
110,Kenneth Walker III,22,SEA,RB,1,1,1,1,3,3.0,0,0,0.0,3,1.0,3.0,100.0,3.0,0,,WalkKe00
111,Quez Watkins,24,PHI,WR,2,1,3,1,8,8.0,0,0,33.3,8,0.5,4.0,33.3,2.7,0,,WatkQu00
112,Sammy Watkins,29,BAL,WR,1,1,3,1,12,12.0,0,1,33.3,12,1.0,12.0,33.3,4.0,0,,WatkSa00
113,Cedrick Wilson Jr.,27,MIA,WR,1,0,1,1,14,14.0,0,1,100.0,14,1.0,14.0,100.0,14.0,0,,WilsCe01
114,Jeff Wilson,27,MIA,RB,1,1,4,1,13,13.0,0,1,25.0,13,1.0,13.0,25.0,3.3,0,,WilsJe01
115,Dareke Young,23,SEA,WR,1,0,1,1,11,11.0,0,1,100.0,11,1.0,11.0,100.0,11.0,0,,YounDa02
116,Josh Allen,26,BUF,QB,2,2,0,0,0,,0,0,,,0.0,0.0,,,3,,AlleJo02
117,Gary Brightwell,23,NYG,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,BrigGa00
118,John Brown,32,BUF,WR,1,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,BrowJo02
119,Joe Burrow,26,CIN,QB,3,3,0,0,0,,0,0,,,0.0,0.0,,,0,,BurrJo01
120,James Cook,23,BUF,RB,2,0,0,0,0,,0,0,,,0.0,0.0,,,0,,CookJa01
121,DeeJay Dallas,24,SEA,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,DallDe00
122,Jody Fortson,27,KAN,TE,1,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,FortJo01
123,Chad Henne,37,KAN,QB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,HennCh01
124,Justin Herbert,24,LAC,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,1,,HerbJu00
125,Tyler Huntley,24,BAL,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,1,,HuntTy01
126,Jalen Hurts,24,PHI,QB,3,3,0,0,0,,0,0,,,0.0,0.0,,,2,,HurtJa00
127,Josh Johnson,36,SFO,QB,1,0,0,0,0,,0,0,,,0.0,0.0,,,1,,JohnJo05
128,Daniel Jones,25,NYG,QB,2,2,0,0,0,,0,0,,,0.0,0.0,,,1,,JoneDa05
129,Ronald Jones II,25,KAN,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,JoneRo01
130,Ko Kieft,24,TAM,TE,1,1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,KiefKo00
131,Trevor Lawrence,23,JAX,QB,2,2,0,0,0,,0,0,,,0.0,0.0,,,0,,LawrTr00
132,Hunter Long,24,MIA,TE,1,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,LongHu00
133,Patrick Mahomes,27,KAN,QB,3,3,0,0,0,,0,0,,,0.0,0.0,,,1,SB MVP,MahoPa00
134,Jordan Mason,23,SFO,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,MasoJo00
135,Gardner Minshew II,26,PHI,QB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,MinsGa00
136,Dak Prescott,29,DAL,QB,2,2,0,0,0,,0,0,,,0.0,0.0,,,0,,PresDa01
137,Brock Purdy,23,SFO,QB,2,2,0,0,0,,0,0,,,0.0,0.0,,,0,,PurdBr00
138,Patrick Ricard,28,BAL,FB,1,1,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,RicaPa00
139,Trent Sherfield,26,MIA,WR,1,1,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,SherTr00
140,Geno Smith,32,SEA,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,1,,SmitGe00
141,Skylar Thompson,25,MIA,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,0,,ThomSk00
,League Average,,,,,,,,,,,,53.2,,2.5,26.6,67.0,7.1,,,-9999
