,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Travis Kelce,33,KAN,TE,3,3,31,27,257,9.5,4,15,74.2,22,9.0,85.7,87.1,8.3,1,,KelcTr00
2,Ja'Marr Chase,22,CIN,WR,3,3,28,20,220,11.0,2,11,60.7,35,6.7,73.3,71.4,7.9,0,,ChasJa00
3,Dallas Goedert,27,PHI,TE,3,3,18,16,141,8.8,1,7,61.1,23,5.3,47.0,88.9,7.8,0,,GoedDa00
4,Christian Kirk,26,JAX,WR,2,2,28,15,130,8.7,2,8,46.4,17,7.5,65.0,53.6,4.6,0,,KirkCh01
5,DeVonta Smith,24,PHI,WR,3,3,22,15,197,13.1,1,8,36.4,45,5.0,65.7,68.2,9.0,0,,SmitDe07
6,CeeDee Lamb,23,DAL,WR,2,2,19,14,185,13.2,1,8,52.6,46,7.0,92.5,73.7,9.7,0,,LambCe00
7,A.J. Brown,25,PHI,WR,3,3,22,13,146,11.2,1,8,50.0,45,4.3,48.7,59.1,6.6,0,,BrowAJ00
8,Tee Higgins,23,CIN,WR,3,3,21,13,148,11.4,1,8,57.1,27,4.3,49.3,61.9,7.0,0,,HiggTe00
9,Hayden Hurst,29,CIN,TE,3,3,17,13,141,10.8,1,7,52.9,23,4.3,47.0,76.5,8.3,1,,HursHa00
10,Zay Jones,27,JAX,WR,2,2,20,13,157,12.1,1,5,60.0,39,6.5,78.5,65.0,7.9,0,,JoneZa00
11,Deebo Samuel,26,SFO,WR,3,3,22,13,211,16.2,1,7,50.0,74,4.3,70.3,59.1,9.6,1,,SamuDe00
12,Evan Engram,28,JAX,TE,2,2,17,12,124,10.3,1,9,64.7,24,6.0,62.0,70.6,7.3,0,,EngrEv00
13,Christian McCaffrey,26,SFO,RB,3,3,14,12,61,5.1,1,4,50.0,14,4.0,20.3,85.7,4.4,0,,McCaCh01
14,Dalton Schultz,26,DAL,TE,2,2,18,12,122,10.2,3,7,55.6,26,6.0,61.0,66.7,6.8,0,,SchuDa00
15,Stefon Diggs,29,BUF,WR,2,2,19,11,149,13.5,0,6,42.1,52,5.5,74.5,57.9,7.8,0,,DiggSt00
16,Richie James,27,NYG,WR,2,2,16,11,82,7.5,0,5,50.0,13,5.5,41.0,68.8,5.1,0,,JameRi00
17,Chris Godwin,26,TAM,WR,1,1,13,10,85,8.5,0,5,61.5,16,10.0,85.0,76.9,6.5,0,,GodwCh00
18,T.J. Hockenson,25,MIN,TE,1,1,11,10,129,12.9,0,6,63.6,28,10.0,129.0,90.9,11.7,0,,HockTJ00
19,George Kittle,29,SFO,TE,3,3,11,10,164,16.4,0,7,72.7,31,3.3,54.7,90.9,14.9,0,,KittGe00
20,D.K. Metcalf,25,SEA,WR,1,1,13,10,136,13.6,2,7,69.2,50,10.0,136.0,76.9,10.5,0,,MetcDK00
21,JuJu Smith-Schuster,26,KAN,WR,3,2,12,10,89,8.9,0,7,58.3,16,3.3,29.7,83.3,7.4,0,,SmitJu00
22,Isaiah Hodgins,24,NYG,WR,2,2,11,9,108,12.0,1,4,72.7,32,4.5,54.0,81.8,9.8,0,,HodgIs00
23,Gabriel Davis,23,BUF,WR,2,2,13,8,147,18.4,1,7,61.5,33,4.0,73.5,61.5,11.3,0,,DaviGa01
24,Dawson Knox,26,BUF,TE,2,2,12,8,85,10.6,1,6,58.3,32,4.0,42.5,66.7,7.1,0,,KnoxDa00
25,Joe Mixon,26,CIN,RB,3,3,10,8,50,6.3,0,1,80.0,13,2.7,16.7,80.0,5.0,0,,MixoJo00
26,Samaje Perine,27,CIN,RB,3,0,10,8,35,4.4,0,2,50.0,11,2.7,11.7,80.0,3.5,0,,PeriSa00
27,Saquon Barkley,25,NYG,RB,2,2,9,7,77,11.0,0,5,55.6,24,3.5,38.5,77.8,8.6,0,,BarkSa00
