,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
91,Jaylen Waddle,25,MIA,WR,1,1,5,2,31,15.5,0,2,40.0,17,2.0,31.0,40.0,6.2,0,,WaddJa00
92,Jaylen Warren,25,PIT,RB,1,0,2,2,16,8.0,0,1,50.0,16,2.0,16.0,100.0,8.0,0,,WarrJa01
93,Christian Watson,24,GNB,WR,2,0,3,2,20,10.0,0,1,66.7,11,1.0,10.0,66.7,6.7,0,,WatsCh00
94,Dontayvion Wicks,22,GNB,WR,2,2,4,2,25,12.5,1,1,25.0,20,1.0,12.5,50.0,6.3,0,,WickDo00
95,Robert Woods,31,HOU,WR,2,1,6,2,17,8.5,0,1,16.7,11,1.0,8.5,33.3,2.8,0,,WoodRo02
96,Tutu Atwell,24,LAR,WR,1,0,1,1,38,38.0,1,1,100.0,38,1.0,38.0,100.0,38.0,0,,AtweTu00
97,Calvin Austin III,24,PIT,WR,1,0,2,1,7,7.0,1,1,50.0,7,1.0,7.0,50.0,3.5,0,,AustCa00
98,Jason Cabinda,27,DET,FB,1,0,1,1,0,0.0,0,0,0.0,,1.0,0.0,100.0,0.0,0,,CabiJa00
99,Payne Durham,23,TAM,TE,1,1,1,1,18,18.0,0,1,100.0,18,1.0,18.0,100.0,18.0,0,,DurhPa00
100,Anthony Firkser,28,DET,TE,1,0,1,1,8,8.0,0,0,100.0,8,1.0,8.0,100.0,8.0,0,,FirkAn00
101,Connor Heyward,24,PIT,TE,1,0,1,1,5,5.0,0,0,100.0,5,1.0,5.0,100.0,5.0,0,,HeywCo00
102,Lamar Jackson,26,BAL,QB,2,2,1,1,13,13.0,0,1,100.0,13,0.5,6.5,100.0,13.0,1,,JackLa00
103,Richie James,28,KAN,WR,3,0,4,1,6,6.0,0,1,25.0,6,0.3,2.0,25.0,1.5,1,,JameRi00
104,Ty Johnson,26,BUF,RB,2,0,3,1,14,14.0,0,1,33.3,14,0.5,7.0,33.3,4.7,0,,JohnTy02
105,Brevin Jordan,23,HOU,TE,2,2,2,1,76,76.0,1,1,50.0,76,0.5,38.0,50.0,38.0,0,,JordBr00
106,Charlie Kolar,24,BAL,TE,1,0,1,1,4,4.0,0,0,100.0,4,1.0,4.0,100.0,4.0,0,,KolaCh00
107,Raheem Mostert,31,MIA,RB,1,1,2,1,-3,-3.0,0,0,0.0,-3,1.0,-3.0,50.0,-1.5,0,,MostRa00
108,Dare Ogunbowale,29,HOU,RB,1,0,1,1,13,13.0,0,0,0.0,13,1.0,13.0,100.0,13.0,0,,OgunDa00
109,Luke Schoonmaker,25,DAL,TE,1,0,1,1,7,7.0,0,0,100.0,7,1.0,7.0,100.0,7.0,0,,SchoLu00
110,Trent Sherfield,27,BUF,WR,1,0,3,1,7,7.0,0,1,33.3,7,1.0,7.0,33.3,2.3,0,,SherTr00
111,Ben Sims,23,GNB,TE,1,0,1,1,4,4.0,0,0,0.0,4,1.0,4.0,100.0,4.0,0,,SimsBe00
112,Ben Skowronek,26,LAR,WR,1,0,1,1,5,5.0,0,0,0.0,5,1.0,5.0,100.0,5.0,0,,SkowBe00
113,Deven Thompkins,24,TAM,WR,2,0,2,1,4,4.0,0,0,50.0,4,0.5,2.0,50.0,2.0,0,,ThomDe07
114,Kyren Williams,23,LAR,RB,1,1,1,1,9,9.0,0,0,100.0,9,1.0,9.0,100.0,9.0,0,,WillKy02
115,Emanuel Wilson,24,GNB,RB,2,0,1,1,11,11.0,0,1,100.0,11,0.5,5.5,100.0,11.0,0,,WilsEm00
116,Jeff Wilson,28,MIA,RB,1,0,2,1,6,6.0,0,0,0.0,6,1.0,6.0,50.0,3.0,0,,WilsJe01
117,Brock Wright,25,DET,TE,1,1,1,1,29,29.0,0,1,100.0,29,1.0,29.0,100.0,29.0,0,,WrigBr01
118,Olamide Zaccheaus,26,PHI,WR,1,0,1,1,5,5.0,0,0,0.0,5,1.0,5.0,100.0,5.0,0,,ZaccOl01
119,Josh Allen,27,BUF,QB,2,2,0,0,0,,0,0,,,0.0,0.0,,,1,,AlleJo02
120,Andrew Beck,27,HOU,FB,1,1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,BeckAn01
121,Braxton Berrios,28,MIA,WR,1,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,BerrBr00
122,Noah Brown,27,HOU,WR,1,1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,BrowNo00
123,Dalvin Cook,28,BAL,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,CookDa01
124,Joe Flacco,38,CLE,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,0,,FlacJo00
125,Jared Goff,29,DET,QB,2,2,0,0,0,,0,0,,,0.0,0.0,,,1,,GoffJa00
126,Marquise Goodwin,33,CLE,WR,1,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,GoodMa00
127,Damar Hamlin,25,BUF,S,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,HamlDa00
128,Tyler Higbee,30,LAR,TE,1,1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,HigbTy00
129,Jalen Hurts,25,PHI,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,0,,HurtJa00
130,Andy Isabella,27,BUF,WR,1,0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,IsabAn00
131,Jordan Love,25,GNB,QB,2,2,0,0,0,,0,0,,,0.0,0.0,,,1,,LoveJo03
132,Patrick Mahomes,28,KAN,QB,4,4,0,0,0,,0,0,,,0.0,0.0,,,2,SB MVP,MahoPa00
133,Baker Mayfield,28,TAM,QB,2,2,0,0,0,,0,0,,,0.0,0.0,,,0,,MayfBa00
134,Davis Mills,25,HOU,QB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,MillDa02
135,Elijah Mitchell,25,SFO,RB,2,0,0,0,0,,0,0,,,0.0,0.0,,,0,,MitcEl00
136,Dameon Pierce,23,HOU,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,PierDa01
137,Dak Prescott,30,DAL,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,0,,PresDa01
138,Brock Purdy,24,SFO,QB,3,3,0,0,0,,0,0,,,0.0,0.0,,,0,,PurdBr00
139,Craig Reynolds,27,DET,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,ReynCr00
140,Mason Rudolph,28,PIT,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,0,,RudoMa00
141,C.J. Stroud,22,HOU,QB,2,2,0,0,0,,0,0,,,0.0,0.0,,,0,,StroCJ00
142,Tua Tagovailoa,25,MIA,QB,1,1,0,0,0,,0,0,,,0.0,0.0,,,0,,TagoTu00
143,Patrick Taylor,25,GNB,RB,1,0,0,0,0,,0,0,,,0.0,0.0,,,0,,TaylPa01
144,Jalen Tolbert,24,DAL,WR,1,0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,TolbJa00
145,Darnell Washington,22,PIT,TE,1,1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,WashDa03
,League Average,,,,,,,,,,,,53.7,,2.5,28.0,69.6,7.7,,,-9999
