"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"96","Tevin Coleman (FA)","3","12","26","2.2","13","1.1","13","1.1","0","4","-6","5","1","0","0","0","0","14","3","3","1","4"
"97","Brandon Bolden (FA)","12","17","66","3.9","50","2.9","16","0.9","0","0","0","0","2","0","0","0","0","12","10","10","1","11"
"98","Malcolm Brown (FA)","7","18","81","4.5","62","3.4","19","1.1","2","2","-4","23","3","1","0","0","0","23","5","6","2","1"
"99","Darrel Williams (FA)","5","21","102","4.9","77","3.7","25","1.2","0","1","-1","1","2","1","1","0","0","30","4","8","1","4"
"100","Corey Clement (FA)","5","15","55","3.7","41","2.7","14","0.9","0","0","0","1","1","0","0","0","0","12","5","7","0","17"
"101","Benny Snell Jr. (FA)","9","20","90","4.5","54","2.7","36","1.8","0","0","0","2","2","0","0","0","0","16","2","2","0","11"
"102","Sony Michel (FA)","10","36","106","2.9","42","1.2","64","1.8","3","2","-6","0","1","0","0","0","0","12","9","13","0","11"
"103","Ronald Jones II (FA)","5","17","70","4.1","46","2.7","24","1.4","1","1","-1","2","1","0","0","0","0","13","1","1","0","3"
"104","Derek Watt (FA)","12","9","21","2.3","12","1.3","9","1.0","0","0","0","1","0","0","0","0","0","4","5","5","2","0"
"105","Hassan Haskins (LAC)","14","25","93","3.7","26","1.0","67","2.7","2","0","0","0","1","0","0","0","0","12","11","12","0","19"
"106","Keaontay Ingram (KC)","11","27","60","2.2","23","0.9","37","1.4","0","3","-7","2","2","0","0","0","0","13","4","5","1","21"
"107","Zander Horvath (FA)","8","4","8","2.0","6","1.5","2","0.5","0","0","0","0","0","0","0","0","0","3","5","8","2","0"
"108","Salvon Ahmed (IND)","7","12","64","5.3","37","3.1","27","2.3","1","0","0","11","2","0","0","0","0","11","1","1","0","0"
"109","Royce Freeman (FA)","5","41","117","2.9","92","2.2","25","0.6","2","4","-14","0","1","0","0","0","0","11","6","8","0","4"
"110","Kevin Harris (FA)","5","18","52","2.9","29","1.6","23","1.3","3","3","-7","14","2","0","0","0","0","14","0","0","0","0"
"111","Snoop Conner (FA)","5","12","42","3.5","31","2.6","11","0.9","0","0","0","3","0","0","0","0","0","8","0","0","0","0"
"112","Tyrion Davis-Price (GB)","5","34","99","2.9","46","1.4","53","1.6","2","4","-12","0","2","1","0","0","0","20","0","2","0","0"
"113","Darrynton Evans (BUF)","3","14","64","4.6","37","2.6","27","1.9","0","0","0","0","1","1","0","0","0","21","1","1","0","12"
"114","Kene Nwangwu (NYJ)","14","9","14","1.6","4","0.4","10","1.1","0","2","-5","0","0","0","0","0","0","8","2","2","0","3"
