"Rank","Player","G","REC","YDS","YBC","AIR","YAC","YACON","BRKTKL","TGT","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS"
"1","Justin Jefferson (MIN)","17","8","106","70","21","37","8","0","11","8","0","2","4","2","1","0","0"
"2","Davante Adams (LAR)","17","6","89","60","26","29","6","1","11","6","0","1","4","1","1","0","0"
"3","Tyreek Hill (MIA)","17","7","101","72","27","28","3","0","10","7","0","1","4","1","1","0","0"
"4","A.J. Brown (PHI)","17","5","88","56","25","32","11","0","9","6","0","1","3","1","1","0","0"
"5","Stefon Diggs (NE)","17","6","86","60","31","25","6","0","9","7","0","1","3","1","1","0","0"
"6","CeeDee Lamb (DAL)","17","6","80","51","26","29","9","1","9","7","0","1","4","1","0","0","0"
"7","Jaylen Waddle (MIA)","17","4","80","50","21","30","9","0","7","5","0","0","3","1","1","0","0"
"8","Amari Cooper (FA)","17","5","68","49","26","19","5","0","8","5","1","1","3","1","0","0","0"
"9","Amon-Ra St. Brown (DET)","16","7","73","40","12","33","6","0","9","7","0","1","4","1","0","0","0"
"10","DeVonta Smith (PHI)","17","6","70","42","19","29","6","0","8","6","0","1","3","1","0","0","0"
"11","Christian Kirk (HOU)","17","5","65","43","22","22","4","0","8","5","0","1","3","1","0","0","0"
"12","Ja'Marr Chase (CIN)","13","7","80","47","31","34","11","1","10","8","1","2","3","1","0","0","0"
"13","Tyler Lockett (TEN)","16","5","65","47","25","17","1","0","7","5","0","1","3","1","1","0","0"
"14","Terry McLaurin (WAS)","17","5","70","47","24","23","8","0","7","5","0","1","3","1","1","0","0"
"15","Brandon Aiyuk (SF)","17","5","60","37","14","23","6","0","7","5","0","1","3","1","0","0","0"
"16","Mike Evans (TB)","15","5","75","61","19","14","4","0","8","5","0","1","3","1","0","0","0"
"17","Tee Higgins (CIN)","15","5","69","50","21","19","7","0","7","5","1","1","3","1","0","0","0"
"18","Jerry Jeudy (CLE)","15","4","65","38","24","26","7","0","7","5","0","1","2","1","1","0","0"
"19","DK Metcalf (PIT)","17","5","62","49","23","13","4","0","8","6","0","2","3","1","0","0","0"
"20","DJ Moore (CHI)","17","4","52","42","14","11","3","0","7","4","0","1","2","1","0","0","0"
"21","Garrett Wilson (NYJ)","17","5","65","43","22","22","11","1","9","5","0","1","3","1","0","0","0"
"22","Cooper Kupp (SEA)","9","8","90","43","46","47","12","0","11","9","0","1","3","1","0","0","0"
"23","Chris Olave (NO)","15","5","69","55","45","14","4","0","8","5","0","1","3","1","0","0","0"
"24","Gabe Davis (FA)","15","3","56","46","22","10","1","0","6","4","1","1","2","1","0","0","0"
"25","Christian Watson (GB)","14","3","44","24","5","20","3","0","5","3","0","1","2","1","0","0","0"
"26","Chris Godwin (TB)","15","7","68","33","5","35","9","0","9","7","0","1","3","1","0","0","0"
"27","Michael Pittman Jr. (IND)","16","6","58","36","15","22","7","0","9","7","0","1","3","1","0","0","0"
"28","Tyler Boyd (FA)","17","3","46","31","13","15","5","0","5","4","0","1","2","1","0","0","0"
