"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Saquon Barkley (PHI)","16","345","2,005","5.8","1,328","3.8","677","2.0","19","33","-80","72","46","17","10","7","6","72","33","43","9","130"
"2","Derrick Henry (BAL)","17","325","1,921","5.9","1,011","3.1","910","2.8","42","26","-55","87","45","19","9","5","3","87","19","22","5","85"
"3","Jahmyr Gibbs (DET)","17","250","1,412","5.6","813","3.3","599","2.4","21","19","-58","70","42","13","4","3","1","70","52","63","11","88"
"4","Bijan Robinson (ATL)","17","304","1,456","4.8","728","2.4","728","2.4","23","23","-66","37","34","5","1","0","0","37","61","72","7","125"
"5","Josh Jacobs (GB)","17","301","1,329","4.4","592","2.0","737","2.4","35","28","-45","38","33","7","4","0","0","38","36","43","4","142"
"6","Kyren Williams (LAR)","16","316","1,299","4.1","693","2.2","606","1.9","27","28","-55","13","27","2","1","0","0","30","34","40","8","53"
"7","James Cook (BUF)","16","207","1,009","4.9","530","2.6","479","2.3","14","21","-37","65","21","6","4","4","1","65","32","38","3","43"
"8","Jonathan Taylor (IND)","14","303","1,431","4.7","859","2.8","572","1.9","15","29","-55","70","31","11","4","4","3","70","18","31","3","58"
"9","De'Von Achane (MIA)","17","203","907","4.5","486","2.4","421","2.1","7","36","-73","50","21","5","4","3","2","61","78","87","14","112"
"10","James Conner (ARI)","16","236","1,094","4.6","528","2.2","566","2.4","24","21","-52","6","34","6","2","2","1","53","47","55","5","204"
"11","Joe Mixon (HOU)","14","245","1,016","4.1","540","2.2","468","1.9","19","36","-81","45","28","8","4","2","1","59","36","52","7","110"
"12","Chase Brown (CIN)","16","229","990","4.3","599","2.6","391","1.7","23","19","-40","30","23","8","2","1","0","40","54","65","12","102"
"13","Chuba Hubbard (CAR)","15","250","1,195","4.8","656","2.6","539","2.2","14","15","-28","38","26","8","2","0","0","38","43","54","11","43"
"14","Bucky Irving (TB)","17","207","1,122","5.4","563","2.7","556","2.7","12","16","-36","12","27","8","7","3","2","56","47","52","8","178"
"15","Alvin Kamara (NO)","14","228","950","4.2","548","2.4","402","1.8","13","29","-65","12","25","3","0","0","0","24","68","89","5","118"
"16","Aaron Jones Sr. (MIN)","17","255","1,138","4.5","614","2.4","524","2.1","11","21","-36","34","25","3","3","1","0","41","51","62","17","82"
"17","David Montgomery (DET)","14","185","775","4.2","347","1.9","428","2.3","19","13","-19","16","17","1","0","0","0","21","36","38","3","132"
"18","Breece Hall (NYJ)","16","209","876","4.2","432","2.1","444","2.1","7","21","-53","18","26","3","2","1","0","42","57","76","8","189"
"19","D'Andre Swift (CHI)","17","253","959","3.8","511","2.0","448","1.8","7","31","-78","56","18","5","3","1","1","56","42","52","0","100"
"20","Najee Harris (LAC)","17","263","1,043","4.0","502","1.9","541","2.1","22","22","-49","36","29","9","2","0","0","36","36","48","4","93"
"21","J.K. Dobbins (DEN)","13","195","905","4.6","416","2.1","489","2.5","24","18","-33","43","27","6","4","3","1","61","32","38","5","28"
"22","Tony Pollard (TEN)","16","260","1,079","4.2","520","2.0","559","2.2","22","25","-61","26","30","6","2","1","0","41","41","57","3","60"
"23","Rico Dowdle (CAR)","16","235","1,079","4.6","570","2.4","509","2.2","11","19","-39","4","26","2","0","0","0","27","39","49","5","71"
"24","Rachaad White (TB)","16","144","613","4.3","231","1.6","382","2.7","9","17","-36","7","12","2","2","1","1","56","51","57","10","125"
"25","Zach Charbonnet (SEA)","17","135","569","4.2","270","2.0","304","2.2","12","15","-17","51","16","3","1","1","1","51","42","52","1","76"
"26","Tyrone Tracy Jr. (NYG)","17","192","839","4.4","511","2.7","328","1.7","6","13","-25","45","18","6","3","2","0","45","38","53","5","69"
"27","Rhamondre Stevenson (NE)","15","207","801","3.9","370","1.8","431","2.1","14","20","-51","33","22","2","2","0","0","33","33","41","9","58"
"28","Brian Robinson Jr. (WAS)","14","187","799","4.3","378","2.0","421","2.3","10","18","-38","40","19","4","3","2","0","40","20","25","4","58"
"29","Kenneth Walker III (SEA)","11","153","573","3.7","263","1.7","310","2.0","13","20","-52","23","13","5","0","0","0","28","46","53","8","96"
"30","Kareem Hunt (KC)","13","200","728","3.6","399","2.0","329","1.6","7","11","-16","6","11","1","0","0","0","20","23","32","10","88"
"31","Tank Bigsby (JAC)","16","168","766","4.6","295","1.8","471","2.8","14","12","-18","65","20","4","2","2","2","65","7","12","0","10"
"32","Javonte Williams (DAL)","17","139","513","3.7","258","1.9","255","1.8","4","17","-36","14","13","1","0","0","0","20","52","70","4","93"
"33","Jordan Mason (MIN)","12","153","789","5.2","440","2.9","349","2.3","13","15","-31","10","23","9","2","0","0","38","11","14","2","26"
"34","Alexander Mattison (MIA)","14","132","420","3.2","209","1.6","211","1.6","7","17","-30","3","7","1","0","0","0","24","36","48","1","105"
"35","Ray Davis (BUF)","17","113","442","3.9","217","1.9","225","2.0","6","11","-21","16","11","2","0","0","0","23","17","19","2","16"
"36","Austin Ekeler (WAS)","12","77","367","4.8","231","3.0","136","1.8","3","6","-8","24","7","4","1","1","1","50","35","41","3","145"
"37","Jerome Ford (CLE)","14","104","565","5.4","345","3.3","220","2.1","5","11","-26","62","13","5","4","2","2","66","37","43","1","71"
"38","Tyler Allgeier (ATL)","17","137","644","4.7","288","2.1","356","2.6","7","11","-18","6","18","4","0","0","0","25","13","13","0","35"
"39","Travis Etienne Jr. (JAC)","15","150","558","3.7","283","1.9","275","1.8","3","17","-41","4","16","2","0","0","0","22","39","52","5","105"
"40","Jaylen Warren (PIT)","15","120","511","4.3","279","2.3","232","1.9","10","12","-21","3","14","1","0","0","0","22","38","47","6","83"
"41","Ameer Abdullah (SF)","15","66","311","4.7","183","2.8","128","1.9","5","3","-7","7","8","1","1","1","0","40","40","47","6","69"
"42","Justice Hill (BAL)","15","47","228","4.9","90","1.9","138","2.9","6","5","-10","51","6","2","1","1","1","51","42","51","8","95"
"43","Emanuel Wilson (GB)","17","103","502","4.9","260","2.5","242","2.3","9","7","-14","21","13","1","0","0","0","21","11","14","2","39"
"44","Tyjae Spears (TEN)","12","84","312","3.7","128","1.5","184","2.2","13","11","-24","11","9","1","0","0","0","23","30","35","2","97"
"45","Antonio Gibson (NE)","17","120","538","4.5","215","1.8","323","2.7","12","15","-28","11","14","4","1","1","0","45","23","29","2","41"
"46","Isaac Guerendo (SF)","16","84","420","5.0","180","2.1","240","2.9","3","6","-7","15","9","2","2","1","1","76","15","16","0","25"
"47","Cam Akers (NO)","16","104","444","4.3","226","2.2","218","2.1","7","19","-37","15","16","2","1","1","1","58","14","18","4","19"
"48","Devin Singletary (NYG)","16","113","437","3.9","206","1.8","231","2.0","10","6","-17","7","10","2","1","1","0","43","21","24","0","29"
"49","Ty Johnson (BUF)","17","41","213","5.2","106","2.6","107","2.6","2","5","-7","3","7","0","0","0","0","19","18","25","6","31"
"50","Jaleel McLaughlin (DEN)","16","113","496","4.4","302","2.7","194","1.7","8","14","-38","1","16","1","0","0","0","21","24","27","3","24"
"51","Braelon Allen (NYJ)","17","92","334","3.6","143","1.6","191","2.1","4","7","-9","20","5","1","0","0","0","20","19","27","1","49"
