"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"52","Roschon Johnson (CHI)","13","55","150","2.7","80","1.5","70","1.3","0","4","-10","1","0","0","0","0","0","9","16","20","2","34"
"53","Gus Edwards (FA)","11","101","365","3.6","125","1.2","240","2.4","9","6","-17","5","6","1","1","1","0","43","3","5","0","2"
"54","Sean Tucker (TB)","17","50","308","6.2","179","3.6","129","2.6","5","1","-1","5","9","2","2","0","0","36","9","12","0","32"
"55","Zack Moss (FA)","9","74","242","3.3","166","2.2","76","1.0","4","6","-11","5","5","0","0","0","0","16","23","27","3","34"
"56","Nick Chubb (HOU)","8","102","332","3.3","170","1.7","162","1.6","4","11","-17","2","5","0","0","0","0","19","5","11","1","4"
"57","Jeremy McNichols (WAS)","17","55","261","4.7","97","1.8","164","3.0","7","6","-13","27","6","2","0","0","0","28","9","12","2","3"
"58","Samaje Perine (CIN)","17","20","92","4.6","54","2.7","38","1.9","0","0","0","2","3","0","0","0","0","13","28","35","3","77"
"59","Miles Sanders (DAL)","11","55","205","3.7","124","2.3","81","1.5","2","6","-14","1","3","1","0","0","0","26","24","30","2","25"
"60","Raheem Mostert (LV)","13","85","278","3.3","143","1.7","135","1.6","1","14","-27","6","9","1","0","0","0","21","19","23","2","27"
"61","Kenneth Gainwell (PIT)","17","75","290","3.9","162","2.2","128","1.7","3","6","-11","13","11","1","0","0","0","20","16","22","3","38"
"62","Ezekiel Elliott (FA)","15","74","226","3.1","115","1.6","111","1.5","2","6","-12","3","1","0","0","0","0","11","12","15","2","19"
"63","Isiah Pacheco (KC)","7","83","310","3.7","181","2.2","129","1.6","0","5","-10","1","3","1","1","0","0","34","12","16","1","15"
"64","Audric Estime (DEN)","13","76","310","4.1","134","1.8","176","2.3","3","4","-6","3","5","1","0","0","0","21","5","5","0","8"
"65","Dameon Pierce (HOU)","11","40","293","7.3","77","1.9","216","5.4","6","1","-1","92","6","2","2","2","2","92","2","4","1","2"
"66","Trey Benson (ARI)","13","63","291","4.6","157","2.5","134","2.1","4","4","-6","1","10","1","0","0","0","20","6","6","0","16"
"67","Emari Demercado (ARI)","13","24","223","9.3","86","3.6","137","5.7","3","1","-1","53","6","2","2","2","1","53","16","20","3","9"
"68","Kyle Juszczyk (SF)","17","5","26","5.2","9","1.8","17","3.4","1","1","-1","6","1","0","0","0","0","14","19","31","2","28"
"69","Trey Sermon (PIT)","15","56","159","2.8","75","1.3","84","1.5","3","7","-18","1","4","0","0","0","0","17","16","19","3","21"
"70","Dare Ogunbowale (HOU)","17","30","112","3.7","70","2.3","42","1.4","1","6","-9","0","2","1","1","0","0","35","19","28","5","28"
"71","Isaiah Davis (NYJ)","14","30","174","5.8","66","2.2","108","3.6","4","2","-6","17","8","1","0","0","0","20","9","12","3","20"
"72","Tyler Goodson (IND)","16","32","153","4.8","93","2.9","60","1.9","0","3","-3","7","3","1","1","0","0","33","11","15","2","27"
"73","Christian McCaffrey (SF)","4","50","202","4.0","116","2.3","86","1.7","3","5","-11","0","6","0","0","0","0","19","15","19","4","29"
"74","Chris Brooks (GB)","13","36","183","5.1","74","2.1","109","3.0","6","1","-1","1","4","1","0","0","0","23","11","13","3","30"
"75","Chris Rodriguez Jr. (WAS)","8","35","173","4.9","62","1.8","111","3.2","1","1","-3","7","3","1","0","0","0","25","1","1","0","2"
"76","Hassan Haskins (LAC)","15","34","89","2.6","39","1.1","50","1.5","0","0","0","2","1","0","0","0","0","12","3","3","0","1"
"77","Jamaal Williams (FA)","14","48","164","3.4","92","1.9","72","1.5","0","8","-14","14","3","0","0","0","0","14","9","11","1","14"
"78","Kimani Vidal (LAC)","10","43","155","3.6","83","1.9","72","1.7","3","3","-6","0","2","0","0","0","0","19","5","9","0","5"
"79","Patrick Taylor Jr. (SF)","9","39","183","4.7","89","2.3","94","2.4","0","1","-3","3","3","1","0","0","0","29","3","11","1","2"
"80","D'Onta Foreman (FA)","10","71","232","3.3","131","1.8","101","1.4","0","2","-2","0","2","1","0","0","0","25","6","8","0","16"
"81","Blake Corum (LAR)","15","58","207","3.6","122","2.1","85","1.5","0","5","-10","0","4","0","0","0","0","12","7","8","0","13"
"82","Cordarrelle Patterson (FA)","13","32","135","4.2","46","1.4","89","2.8","3","3","-10","0","6","0","0","0","0","14","12","14","2","14"
"83","Michael Carter (ARI)","4","35","131","3.7","81","2.3","50","1.4","1","2","-2","4","2","0","0","0","0","13","11","11","2","29"
"84","Kendre Miller (NO)","7","39","148","3.8","55","1.4","93","2.4","6","8","-20","8","6","0","0","0","0","17","5","8","0","5"
"85","D'Ernest Johnson (BAL)","12","32","143","4.5","79","2.5","64","2.0","0","3","-3","0","4","1","0","0","0","22","12","19","3","39"
"86","Jaylen Wright (MIA)","15","68","249","3.7","126","1.9","123","1.8","3","15","-40","0","8","1","0","0","0","20","3","6","1","2"
"87","Zamir White (LV)","8","65","183","2.8","93","1.4","90","1.4","4","4","-12","1","2","0","0","0","0","17","6","8","0","17"
"88","Ty Chandler (MIN)","15","56","182","3.3","128","2.3","54","1.0","0","6","-13","0","3","1","0","0","0","25","6","6","1","6"
"89","Khalil Herbert (IND)","12","36","130","3.6","74","2.1","56","1.6","0","2","-2","2","2","0","0","0","0","14","10","11","3","15"
"90","Pierre Strong Jr. (CLE)","13","26","108","4.2","69","2.7","39","1.5","0","1","-5","0","2","0","0","0","0","19","14","22","1","22"
"91","Sincere McCormick (LV)","4","39","183","4.7","90","2.3","93","2.4","5","5","-9","0","6","1","0","0","0","29","6","7","1","6"
"92","Kenny McIntosh (SEA)","12","31","172","5.5","97","3.1","75","2.4","5","0","0","0","4","1","0","0","0","25","3","4","0","1"
"93","Michael Burton (DEN)","17","7","8","1.1","3","0.4","5","0.7","0","1","-1","1","0","0","0","0","0","3","10","10","2","13"
"94","JaMycal Hasty (NE)","12","20","69","3.5","38","1.9","31","1.6","0","2","-7","0","1","0","0","0","0","15","10","12","1","21"
"95","DeeJay Dallas (ARI)","16","9","49","5.4","32","3.6","17","1.9","0","0","0","0","1","1","0","0","0","22","3","3","1","3"
"96","Craig Reynolds (DET)","14","31","139","4.5","91","2.9","48","1.5","1","3","-4","0","3","0","0","0","0","19","3","5","0","26"
"97","Carson Steele (KC)","16","56","183","3.3","85","1.5","98","1.8","2","5","-17","0","0","0","0","0","0","9","7","11","1","9"
"98","Alec Ingold (MIA)","15","10","17","1.7","3","0.3","14","1.4","0","3","-4","3","0","0","0","0","0","6","11","12","1","12"
"99","Hunter Luepke (DAL)","16","12","38","3.2","13","1.1","25","2.1","1","0","0","0","1","0","0","0","0","10","12","16","0","17"
"100","Jordan Mims (TEN)","8","20","70","3.5","50","2.5","20","1.0","0","2","-3","0","0","0","0","0","0","9","12","18","1","15"
"101","Ronnie Rivers (LAR)","7","22","99","4.5","71","3.2","28","1.3","0","2","-2","0","2","0","0","0","0","12","5","6","0","3"
"102","Will Shipley (PHI)","13","30","82","2.7","44","1.5","38","1.3","0","1","-4","0","0","0","0","0","0","9","4","4","1","16"
"103","Tony Jones Jr. (FA)","1","4","55","13.8","9","2.3","46","11.5","0","0","0","46","1","1","1","1","0","46","0","0","0","0"
"104","Julius Chestnut (TEN)","14","22","102","4.6","55","2.5","47","2.1","2","2","-2","0","1","0","0","0","0","12","2","3","0","3"
"105","Deuce Vaughn (DAL)","6","17","70","4.1","38","2.2","32","1.9","0","0","0","0","1","0","0","0","0","12","3","5","0","6"
"106","C.J. Ham (MIN)","17","2","10","5.0","8","4.0","2","1.0","0","0","0","2","0","0","0","0","0","8","5","6","0","4"
"107","Raheem Blackshear (CAR)","16","15","80","5.3","35","2.3","45","3.0","2","2","-4","0","2","1","0","0","0","26","0","0","0","0"
"108","Jeff Wilson Jr. (SF)","7","16","57","3.6","24","1.5","33","2.1","0","3","-5","0","2","0","0","0","0","14","3","3","0","4"
"109","Eric Gray (NYG)","16","14","31","2.2","17","1.2","14","1.0","0","1","-1","0","0","0","0","0","0","6","10","11","2","17"
"110","Clyde Edwards-Helaire (NO)","2","13","46","3.5","17","1.3","29","2.2","3","1","-1","0","1","0","0","0","0","12","3","5","0","9"
"111","Tyler Badie (DEN)","3","11","86","7.8","22","2.0","64","5.8","1","1","-3","0","2","1","1","1","0","43","3","3","1","0"
"112","Keaton Mitchell (BAL)","4","15","30","2.0","8","0.5","22","1.5","2","3","-8","0","0","0","0","0","0","7","1","1","0","5"
"113","Sione Vaki (DET)","12","6","14","2.3","8","1.3","6","1.0","0","2","-3","0","0","0","0","0","0","7","3","3","0","4"
"114","Mike Boone (MIA)","5","13","51","3.9","30","2.3","21","1.6","1","0","0","0","0","0","0","0","0","9","1","3","0","0"
"115","Jonathon Brooks (CAR)","3","9","22","2.4","8","0.9","14","1.6","1","1","-3","0","0","0","0","0","0","9","3","3","2","21"
"116","J.J. Taylor (HOU)","4","10","44","4.4","34","3.4","10","1.0","0","0","0","0","0","0","0","0","0","9","2","3","0","0"
"117","Jacob Kibodi (FA)","1","5","24","4.8","10","2.0","14","2.8","0","1","-1","0","1","0","0","0","0","17","1","3","2","6"
"118","Travis Homer (CHI)","9","6","23","3.8","16","2.7","7","1.2","0","0","0","0","0","0","0","0","0","6","3","3","0","5"
"119","Terrell Jennings (NE)","2","13","33","2.5","19","1.5","14","1.1","0","1","-1","0","0","0","0","0","0","7","0","1","0","0"
"120","Jase McClellan (TB)","3","13","32","2.5","13","1.0","19","1.5","0","2","-9","0","0","0","0","0","0","8","0","0","0","0"
"121","Jermar Jefferson (TEN)","2","6","22","3.7","9","1.5","13","2.2","0","1","-2","0","0","0","0","0","0","8","1","1","0","2"
"122","Rasheen Ali (BAL)","5","10","31","3.1","16","1.6","15","1.5","0","1","-3","0","0","0","0","0","0","9","0","2","0","0"
"123","Dalvin Cook (FA)","2","8","20","2.5","12","1.5","8","1.0","0","0","0","0","0","0","0","0","0","4","1","1","0","3"
"124","Blake Watson (DEN)","3","4","10","2.5","7","1.8","3","0.8","0","1","-1","0","0","0","0","0","0","7","1","2","1","4"
"125","Jonathan Ward (NYG)","4","5","22","4.4","12","2.4","10","2.0","1","0","0","0","0","0","0","0","0","7","0","0","0","0"
"126","MarShawn Lloyd (GB)","1","6","15","2.5","12","2.0","3","0.5","0","0","0","0","0","0","0","0","0","5","1","1","0","2"
"127","Aaron Shampklin (MIA)","3","6","17","2.8","8","1.3","9","1.5","0","1","-2","0","0","0","0","0","0","5","0","0","0","0"
"128","Tyreik McAllister (FA)","2","2","11","5.5","9","4.5","2","1.0","0","0","0","0","1","0","0","0","0","10","0","0","0","0"
"129","Myles Gaskin (BAL)","4","3","-1","-0.3","-2","-0.7","1","0.3","0","1","-3","0","0","0","0","0","0","2","1","1","0","0"
"130","George Holani (SEA)","3","3","10","3.3","7","2.3","3","1.0","0","1","-1","0","0","0","0","0","0","8","1","1","0","0"
"131","Cody Schrader (LAR)","1","1","3","3.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","3","1","1","0","0"
"132","Chris Collier (LV)","6","5","12","2.4","5","1.0","7","1.4","0","0","0","0","0","0","0","0","0","4","1","2","0","0"
"133","Tyrion Davis-Price (GB)","1","3","7","2.3","3","1.0","4","1.3","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"134","Reggie Gilliam (BUF)","14","3","7","2.3","2","0.7","5","1.7","1","1","-1","0","0","0","0","0","0","4","0","0","0","0"
"135","Ke'Shawn Vaughn (SF)","1","2","4","2.0","2","1.0","2","1.0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"136","Darrynton Evans (BUF)","2","3","3","1.0","2","0.7","1","0.3","0","1","-1","0","0","0","0","0","0","4","0","0","0","0"
"137","Joshua Kelley (FA)","1","1","2","2.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"138","British Brooks (HOU)","3","1","2","2.0","1","1.0","1","1.0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"139","Dylan Laube (LV)","6","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
""
""
