"Rank","Player","G","ATT","YDS","YBCON","YACON","BRKTKL","TK LOSS","TK LOSS YDS","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","REC","TGT","RZ TGT","YACON"
"59","Clyde Edwards-Helaire (NO)","15","5","15","10","5","0","1","-1","0","0","0","0","0","1","1","0","7"
"60","Emari Demercado (ARI)","14","4","20","12","8","0","0","-1","0","0","0","0","0","2","2","0","1"
"61","Royce Freeman (FA)","11","7","29","16","13","1","0","-1","1","0","0","0","0","0","0","0","0"
"62","Jamaal Williams (FA)","13","8","24","12","12","0","1","-1","0","0","0","0","0","1","2","0","1"
"63","Jordan Mason (MIN)","16","3","13","7","6","0","0","-1","0","0","0","0","0","0","0","0","0"
"64","Elijah Mitchell (KC)","11","7","26","13","13","1","1","-1","1","0","0","0","0","1","1","0","0"
"65","Chase Brown (CIN)","12","4","15","4","11","0","1","-2","0","0","0","0","0","1","1","0","4"
"66","Pierre Strong Jr. (CLE)","17","4","17","8","9","0","0","-1","0","0","0","0","0","0","0","0","2"
"67","Chris Rodriguez Jr. (WAS)","11","5","22","11","11","0","0","0","1","0","0","0","0","0","0","0","0"
"68","Cam Akers (NO)","7","9","24","11","13","1","2","-5","1","0","0","0","0","2","2","0","5"
"69","Michael Carter (ARI)","15","2","12","9","4","0","0","0","0","0","0","0","0","2","2","0","1"
"70","Darrell Henderson Jr. (FA)","4","12","28","11","17","0","2","-5","0","0","0","0","0","3","4","1","8"
"71","Kendre Miller (NO)","8","5","20","9","11","0","0","-1","1","0","0","0","0","1","1","0","3"
"72","Matt Breida (FA)","15","4","10","6","4","0","0","-1","0","0","0","0","0","1","1","0","1"
"73","Cordarrelle Patterson (FA)","12","4","15","8","7","0","0","-1","0","0","0","0","0","1","1","0","1"
"74","Jeff Wilson Jr. (SF)","9","5","21","12","9","0","0","0","1","0","0","0","0","2","2","0","1"
"75","Salvon Ahmed (IND)","8","3","8","2","5","0","0","-1","0","0","0","0","0","2","3","1","3"
"76","Chase Edmonds (FA)","13","4","14","8","6","0","0","-2","0","0","0","0","0","1","1","0","1"
"77","Ty Johnson (BUF)","9","3","15","8","7","0","0","-1","0","0","0","0","0","1","1","0","1"
"78","Dalvin Cook (FA)","14","5","15","9","6","0","0","-1","0","0","0","0","0","1","1","0","1"
"79","Tony Jones Jr. (FA)","6","4","16","9","7","0","0","-1","1","0","0","0","0","1","2","0","1"
"80","D'Ernest Johnson (BAL)","16","3","7","5","2","0","0","-1","0","0","0","0","0","1","1","0","2"
"81","Craig Reynolds (DET)","15","3","12","7","5","0","0","0","0","0","0","0","0","0","0","0","1"
"82","Kyle Juszczyk (SF)","17","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"83","Darrynton Evans (BUF)","6","5","20","13","7","0","0","-1","1","0","0","0","0","1","2","0","2"
"84","Ameer Abdullah (SF)","16","1","6","3","3","0","0","0","0","0","0","0","0","1","2","0","1"
"85","Tank Bigsby (JAC)","16","3","8","4","4","0","0","-1","0","0","0","0","0","0","0","0","0"
"86","Nick Chubb (HOU)","2","14","85","50","35","1","1","-1","3","1","0","0","0","2","2","0","3"
"87","Patrick Taylor Jr. (SF)","11","3","13","6","6","0","0","0","0","0","0","0","0","1","2","0","0"
"88","Kevin Harris (FA)","4","4","16","3","14","0","0","-1","1","0","0","0","0","1","1","0","2"
"89","Trey Sermon (PIT)","8","4","20","8","12","1","0","-1","0","0","0","0","0","0","1","0","0"
"90","Damien Harris (FA)","7","3","13","7","6","0","0","0","0","0","0","0","0","0","0","0","0"
"91","Melvin Gordon III (FA)","4","7","20","7","13","0","1","-3","1","0","0","0","0","1","1","0","1"
"92","Ronnie Rivers (LAR)","9","4","14","8","6","0","0","0","0","0","0","0","0","1","1","0","0"
"93","Isaiah Spiller (FA)","9","4","11","4","7","0","0","-1","0","0","0","0","0","1","1","0","1"
"94","Tyler Goodson (IND)","6","2","15","10","5","0","0","0","1","0","0","0","0","1","2","1","2"
"95","Alec Ingold (MIA)","17","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"96","Boston Scott (FA)","12","2","7","4","3","0","0","-1","0","0","0","0","0","0","1","0","0"
"97","Raheem Blackshear (CAR)","11","1","4","3","2","0","0","0","0","0","0","0","0","1","1","0","1"
"98","Brandon Bolden (FA)","5","1","6","6","1","0","0","0","0","0","0","0","0","0","0","0","0"
"99","La'Mical Perine (FA)","2","11","39","17","22","1","1","-2","1","0","0","0","0","2","3","0","4"
"100","Emanuel Wilson (GB)","7","2","12","10","3","0","0","-1","0","0","0","0","0","1","1","0","1"
"101","Chris Brooks (GB)","3","6","35","9","27","1","1","-3","1","1","0","0","0","0","0","0","0"
"102","Keaontay Ingram (KC)","7","5","11","5","6","0","2","-4","1","0","0","0","0","1","1","0","1"
"103","Hunter Luepke (DAL)","17","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"104","J.K. Dobbins (DEN)","1","8","22","18","4","0","0","0","0","0","0","0","0","2","3","1","13"
"105","Israel Abanikanda (GB)","7","3","10","7","3","0","0","-1","0","0","0","0","0","1","2","0","1"
"106","Nick Bawden (FA)","6","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","1"
"107","Dare Ogunbowale (HOU)","10","1","4","2","2","0","0","0","0","0","0","0","0","0","1","0","0"
"108","Deuce Vaughn (DAL)","7","3","6","3","3","0","1","-1","0","0","0","0","0","1","1","0","2"
"109","Trayveon Williams (CLE)","16","1","4","3","1","0","0","0","0","0","0","0","0","0","1","0","0"
"110","Eric Gray (NYG)","14","1","3","2","2","0","0","0","0","0","0","0","0","0","1","0","0"
"111","Gary Brightwell (CIN)","4","2","5","1","4","0","0","0","0","0","0","0","0","1","2","0","5"
"112","Mike Boone (MIA)","9","1","3","2","1","0","0","0","0","0","0","0","0","1","1","0","1"
"113","Damien Williams (FA)","3","4","14","5","9","0","1","-1","0","0","0","0","0","1","1","0","2"
"114","Ty Montgomery II (FA)","11","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"115","Ke'Shawn Vaughn (SF)","5","5","8","4","4","1","1","-3","0","0","0","0","0","0","1","0","0"
"116","Leonard Fournette (FA)","2","6","20","10","10","0","1","-1","0","0","0","0","0","0","0","0","0"
"117","Rashaad Penny (FA)","3","4","11","5","6","0","0","-1","0","0","0","0","0","0","0","0","1"
"118","Michael Burton (DEN)","17","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","Sean Tucker (TB)","5","3","5","2","2","0","1","-1","0","0","0","0","0","0","0","0","0"
"120","C.J. Ham (MIN)","17","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"121","Khari Blasingame (FA)","8","1","3","1","2","0","0","0","0","0","0","0","0","0","1","0","0"
"122","Derrick Gore (FA)","3","1","9","7","1","0","0","0","0","0","0","0","0","0","0","0","0"
"123","Jake Funk (FA)","1","2","10","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"124","DeeJay Dallas (ARI)","17","1","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0"
"125","Tyrion Davis-Price (GB)","1","6","21","7","14","0","1","-4","1","0","0","0","0","0","0","0","0"
"126","Zonovan Knight (ARI)","2","2","7","4","3","0","0","0","0","0","0","0","0","1","1","0","1"
"127","Zach Evans (FA)","4","2","5","1","4","0","0","0","0","0","0","0","0","0","0","0","0"
"128","Elijah Dotson (ATL)","1","4","6","3","3","0","0","0","0","0","0","0","0","2","2","0","2"
"129","Kene Nwangwu (NYJ)","8","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"130","Jashaun Corbin (ATL)","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2"
"131","Devine Ozigbo (FA)","1","3","5","2","3","1","1","-3","0","0","0","0","0","1","1","0","0"
"132","Jonathan Ward (NYG)","2","2","6","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"133","Chris Evans (FA)","3","1","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"134","Kenyan Drake (FA)","2","1","0","0","0","0","0","0","0","0","0","0","0","1","2","0","5"
"135","Evan Hull (PIT)","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"136","Adam Prentice (FA)","6","0","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0"
"137","James Robinson (FA)","1","1","2","0","2","0","0","0","0","0","0","0","0","1","1","0","0"
"138","Jonathan Williams (FA)","1","1","-2","0","0","0","1","-2","0","0","0","0","0","0","1","0","0"
"139","Deon Jackson (DET)","2","7","8","2","7","0","1","-3","0","0","0","0","0","3","3","0","3"
""
""
