"Rank","Player","G","ATT","YDS","YBCON","YACON","BRKTKL","TK LOSS","TK LOSS YDS","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","REC","TGT","RZ TGT","YACON"
"1","Saquon Barkley (PHI)","16","22","125","83","42","1","2","-5","3","1","1","0","0","2","3","1","8"
"2","Derrick Henry (BAL)","17","19","113","59","54","2","2","-3","3","1","1","0","0","1","1","0","5"
"3","Jahmyr Gibbs (DET)","17","15","83","48","35","1","1","-3","2","1","0","0","0","3","4","1","5"
"4","Bijan Robinson (ATL)","17","18","86","43","43","1","1","-4","2","0","0","0","0","4","4","0","7"
"5","Josh Jacobs (GB)","17","18","78","35","43","2","2","-3","2","0","0","0","0","2","3","0","8"
"6","Kyren Williams (LAR)","16","20","81","43","38","2","2","-3","2","0","0","0","0","2","3","1","3"
"7","James Cook (BUF)","16","13","63","33","30","1","1","-2","1","0","0","0","0","2","2","0","3"
"8","Jonathan Taylor (IND)","14","22","102","61","41","1","2","-4","2","1","0","0","0","1","2","0","4"
"9","De'Von Achane (MIA)","17","12","53","29","25","0","2","-4","1","0","0","0","0","5","5","1","7"
"10","James Conner (ARI)","16","15","68","33","35","2","1","-3","2","0","0","0","0","3","3","0","13"
"11","Joe Mixon (HOU)","14","18","73","39","33","1","3","-6","2","1","0","0","0","3","4","1","8"
"12","Chase Brown (CIN)","16","14","62","37","24","1","1","-3","1","1","0","0","0","3","4","1","6"
"13","Chuba Hubbard (CAR)","15","17","80","44","36","1","1","-2","2","1","0","0","0","3","4","1","3"
"14","Bucky Irving (TB)","17","12","66","33","33","1","1","-2","2","0","0","0","0","3","3","0","10"
"15","Alvin Kamara (NO)","14","16","68","39","29","1","2","-5","2","0","0","0","0","5","6","0","8"
"16","Aaron Jones Sr. (MIN)","17","15","67","36","31","1","1","-2","1","0","0","0","0","3","4","1","5"
"17","David Montgomery (DET)","14","13","55","25","31","1","1","-1","1","0","0","0","0","3","3","0","9"
"18","Breece Hall (NYJ)","16","13","55","27","28","0","1","-3","2","0","0","0","0","4","5","1","12"
"19","D'Andre Swift (CHI)","17","15","56","30","26","0","2","-5","1","0","0","0","0","2","3","0","6"
"20","Najee Harris (LAC)","17","15","61","30","32","1","1","-3","2","1","0","0","0","2","3","0","5"
"21","J.K. Dobbins (DEN)","13","15","70","32","38","2","1","-3","2","0","0","0","0","2","3","0","2"
"22","Tony Pollard (TEN)","16","16","67","33","35","1","2","-4","2","0","0","0","0","3","4","0","4"
"23","Rico Dowdle (CAR)","16","15","67","36","32","1","1","-2","2","0","0","0","0","2","3","0","4"
"24","Rachaad White (TB)","16","9","38","14","24","1","1","-2","1","0","0","0","0","3","4","1","8"
"25","Zach Charbonnet (SEA)","17","8","33","16","18","1","1","-1","1","0","0","0","0","2","3","0","4"
"26","Tyrone Tracy Jr. (NYG)","17","11","49","30","19","0","1","-1","1","0","0","0","0","2","3","0","4"
"27","Rhamondre Stevenson (NE)","15","14","53","25","29","1","1","-3","1","0","0","0","0","2","3","1","4"
"28","Brian Robinson Jr. (WAS)","14","13","57","27","30","1","1","-3","1","0","0","0","0","1","2","0","4"
"29","Kenneth Walker III (SEA)","11","14","52","24","28","1","2","-5","1","0","0","0","0","4","5","1","9"
"30","Kareem Hunt (KC)","13","15","56","31","25","1","1","-1","1","0","0","0","0","2","2","1","7"
"31","Tank Bigsby (JAC)","16","11","48","18","29","1","1","-1","1","0","0","0","0","0","1","0","1"
"32","Javonte Williams (DAL)","17","8","30","15","15","0","1","-2","1","0","0","0","0","3","4","0","5"
"33","Jordan Mason (MIN)","12","13","66","37","29","1","1","-3","2","1","0","0","0","1","1","0","2"
"34","Alexander Mattison (MIA)","14","9","30","15","15","1","1","-2","1","0","0","0","0","3","3","0","8"
"35","Ray Davis (BUF)","17","7","26","13","13","0","1","-1","1","0","0","0","0","1","1","0","1"
"36","Austin Ekeler (WAS)","12","6","31","19","11","0","1","-1","1","0","0","0","0","3","3","0","12"
"37","Jerome Ford (CLE)","14","7","40","25","16","0","1","-2","1","0","0","0","0","3","3","0","5"
"38","Tyler Allgeier (ATL)","17","8","38","17","21","0","1","-1","1","0","0","0","0","1","1","0","2"
"39","Travis Etienne Jr. (JAC)","15","10","37","19","18","0","1","-3","1","0","0","0","0","3","3","0","7"
"40","Jaylen Warren (PIT)","15","8","34","19","15","1","1","-1","1","0","0","0","0","3","3","0","6"
"41","Ameer Abdullah (SF)","15","4","21","12","9","0","0","0","1","0","0","0","0","3","3","0","5"
"42","Justice Hill (BAL)","15","3","15","6","9","0","0","-1","0","0","0","0","0","3","3","1","6"
"43","Emanuel Wilson (GB)","17","6","30","15","14","1","0","-1","1","0","0","0","0","1","1","0","2"
"44","Tyjae Spears (TEN)","12","7","26","11","15","1","1","-2","1","0","0","0","0","3","3","0","8"
"45","Antonio Gibson (NE)","17","7","32","13","19","1","1","-2","1","0","0","0","0","1","2","0","2"
"46","Isaac Guerendo (SF)","16","5","26","11","15","0","0","0","1","0","0","0","0","1","1","0","2"
"47","Cam Akers (NO)","16","7","28","14","14","0","1","-2","1","0","0","0","0","1","1","0","1"
"48","Devin Singletary (NYG)","16","7","27","13","14","1","0","-1","1","0","0","0","0","1","2","0","2"
"49","Ty Johnson (BUF)","17","2","13","6","6","0","0","0","0","0","0","0","0","1","1","0","2"
"50","Jaleel McLaughlin (DEN)","16","7","31","19","12","1","1","-2","1","0","0","0","0","2","2","0","2"
"51","Braelon Allen (NYJ)","17","5","20","8","11","0","0","-1","0","0","0","0","0","1","2","0","3"
"52","Roschon Johnson (CHI)","13","4","12","6","5","0","0","-1","0","0","0","0","0","1","2","0","3"
"53","Gus Edwards (FA)","11","9","33","11","22","1","1","-2","1","0","0","0","0","0","0","0","0"
"54","Sean Tucker (TB)","17","3","18","11","8","0","0","0","1","0","0","0","0","1","1","0","2"
"55","Zack Moss (FA)","9","8","27","18","8","0","1","-1","1","0","0","0","0","3","3","0","4"
"56","Nick Chubb (HOU)","8","13","42","21","20","1","1","-2","1","0","0","0","0","1","1","0","1"
"57","Jeremy McNichols (WAS)","17","3","15","6","10","0","0","-1","0","0","0","0","0","1","1","0","0"
"58","Samaje Perine (CIN)","17","1","5","3","2","0","0","0","0","0","0","0","0","2","2","0","5"
"59","Miles Sanders (DAL)","11","5","19","11","7","0","1","-1","0","0","0","0","0","2","3","0","2"
"60","Raheem Mostert (LV)","13","7","21","11","10","0","1","-2","1","0","0","0","0","1","2","0","2"
"61","Kenneth Gainwell (PIT)","17","4","17","10","8","0","0","-1","1","0","0","0","0","1","1","0","2"
"62","Ezekiel Elliott (FA)","15","5","15","8","7","0","0","-1","0","0","0","0","0","1","1","0","1"
"63","Isiah Pacheco (KC)","7","12","44","26","18","0","1","-1","0","0","0","0","0","2","2","0","2"
"64","Audric Estime (DEN)","13","6","24","10","14","0","0","0","0","0","0","0","0","0","0","0","1"
"65","Dameon Pierce (HOU)","11","4","27","7","20","1","0","0","1","0","0","0","0","0","0","0","0"
"66","Trey Benson (ARI)","13","5","22","12","10","0","0","0","1","0","0","0","0","0","0","0","1"
"67","Emari Demercado (ARI)","13","2","17","7","11","0","0","0","0","0","0","0","0","1","2","0","1"
"68","Kyle Juszczyk (SF)","17","0","2","1","1","0","0","0","0","0","0","0","0","1","2","0","2"
"69","Trey Sermon (PIT)","15","4","11","5","6","0","0","-1","0","0","0","0","0","1","1","0","1"
"70","Dare Ogunbowale (HOU)","17","2","7","4","2","0","0","-1","0","0","0","0","0","1","2","0","2"
"71","Isaiah Davis (NYJ)","14","2","12","5","8","0","0","0","1","0","0","0","0","1","1","0","1"
"72","Tyler Goodson (IND)","16","2","10","6","4","0","0","0","0","0","0","0","0","1","1","0","2"
"73","Christian McCaffrey (SF)","4","13","51","29","22","1","1","-3","2","0","0","0","0","4","5","1","7"
"74","Chris Brooks (GB)","13","3","14","6","8","0","0","0","0","0","0","0","0","1","1","0","2"
"75","Chris Rodriguez Jr. (WAS)","8","4","22","8","14","0","0","0","0","0","0","0","0","0","0","0","0"
"76","Hassan Haskins (LAC)","15","2","6","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"77","Jamaal Williams (FA)","14","3","12","7","5","0","1","-1","0","0","0","0","0","1","1","0","1"
"78","Kimani Vidal (LAC)","10","4","16","8","7","0","0","-1","0","0","0","0","0","1","1","0","1"
"79","Patrick Taylor Jr. (SF)","9","4","20","10","10","0","0","0","0","0","0","0","0","0","1","0","0"
"80","D'Onta Foreman (FA)","10","7","23","13","10","0","0","0","0","0","0","0","0","1","1","0","2"
"81","Blake Corum (LAR)","15","4","14","8","6","0","0","-1","0","0","0","0","0","0","1","0","1"
"82","Cordarrelle Patterson (FA)","13","2","10","4","7","0","0","-1","0","0","0","0","0","1","1","0","1"
"83","Michael Carter (ARI)","4","9","33","20","13","0","1","-1","1","0","0","0","0","3","3","1","7"
"84","Kendre Miller (NO)","7","6","21","8","13","1","1","-3","1","0","0","0","0","1","1","0","1"
