"Rank","Player","G","ATT","YDS","YBCON","YACON","BRKTKL","TK LOSS","TK LOSS YDS","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","REC","TGT","RZ TGT","YACON"
"85","D'Ernest Johnson (BAL)","12","3","12","7","5","0","0","0","0","0","0","0","0","1","2","0","3"
"86","Jaylen Wright (MIA)","15","5","17","8","8","0","1","-3","1","0","0","0","0","0","0","0","0"
"87","Zamir White (LV)","8","8","23","12","11","1","1","-2","0","0","0","0","0","1","1","0","2"
"88","Ty Chandler (MIN)","15","4","12","9","4","0","0","-1","0","0","0","0","0","0","0","0","0"
"89","Khalil Herbert (IND)","12","3","11","6","5","0","0","0","0","0","0","0","0","1","1","0","1"
"90","Pierre Strong Jr. (CLE)","13","2","8","5","3","0","0","0","0","0","0","0","0","1","2","0","2"
"91","Sincere McCormick (LV)","4","10","46","23","23","1","1","-2","2","0","0","0","0","2","2","0","2"
"92","Kenny McIntosh (SEA)","12","3","14","8","6","0","0","0","0","0","0","0","0","0","0","0","0"
"93","Michael Burton (DEN)","17","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1"
"94","JaMycal Hasty (NE)","12","2","6","3","3","0","0","-1","0","0","0","0","0","1","1","0","2"
"95","DeeJay Dallas (ARI)","16","1","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Craig Reynolds (DET)","14","2","10","7","3","0","0","0","0","0","0","0","0","0","0","0","2"
"97","Carson Steele (KC)","16","4","11","5","6","0","0","-1","0","0","0","0","0","0","1","0","1"
"98","Alec Ingold (MIA)","15","1","1","0","1","0","0","0","0","0","0","0","0","1","1","0","1"
"99","Hunter Luepke (DAL)","16","1","2","1","2","0","0","0","0","0","0","0","0","1","1","0","1"
"100","Jordan Mims (TEN)","8","3","9","6","3","0","0","0","0","0","0","0","0","2","2","0","2"
"101","Ronnie Rivers (LAR)","7","3","14","10","4","0","0","0","0","0","0","0","0","1","1","0","0"
"102","Will Shipley (PHI)","13","2","6","3","3","0","0","0","0","0","0","0","0","0","0","0","1"
"103","Tony Jones Jr. (FA)","1","4","55","9","46","0","0","0","1","1","1","1","0","0","0","0","0"
"104","Julius Chestnut (TEN)","14","2","7","4","3","0","0","0","0","0","0","0","0","0","0","0","0"
"105","Deuce Vaughn (DAL)","6","3","12","6","5","0","0","0","0","0","0","0","0","1","1","0","1"
"106","C.J. Ham (MIN)","17","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","Raheem Blackshear (CAR)","16","1","5","2","3","0","0","0","0","0","0","0","0","0","0","0","0"
"108","Jeff Wilson Jr. (SF)","7","2","8","3","5","0","0","-1","0","0","0","0","0","0","0","0","1"
"109","Eric Gray (NYG)","16","1","2","1","1","0","0","0","0","0","0","0","0","1","1","0","1"
"110","Clyde Edwards-Helaire (NO)","2","7","23","9","15","2","1","-1","1","0","0","0","0","2","3","0","5"
"111","Tyler Badie (DEN)","3","4","29","7","21","0","0","-1","1","0","0","0","0","1","1","0","0"
"112","Keaton Mitchell (BAL)","4","4","8","2","6","1","1","-2","0","0","0","0","0","0","0","0","1"
"113","Sione Vaki (DET)","12","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"114","Mike Boone (MIA)","5","3","10","6","4","0","0","0","0","0","0","0","0","0","1","0","0"
"115","Jonathon Brooks (CAR)","3","3","7","3","5","0","0","-1","0","0","0","0","0","1","1","1","7"
"116","J.J. Taylor (HOU)","4","3","11","9","3","0","0","0","0","0","0","0","0","1","1","0","0"
"117","Jacob Kibodi (FA)","1","5","24","10","14","0","1","-1","1","0","0","0","0","1","3","2","6"
"118","Travis Homer (CHI)","9","1","3","2","1","0","0","0","0","0","0","0","0","0","0","0","1"
"119","Terrell Jennings (NE)","2","7","17","10","7","0","1","-1","0","0","0","0","0","0","1","0","0"
"120","Jase McClellan (TB)","3","4","11","4","6","0","1","-3","0","0","0","0","0","0","0","0","0"
"121","Jermar Jefferson (TEN)","2","3","11","5","7","0","1","-1","0","0","0","0","0","1","1","0","1"
"122","Rasheen Ali (BAL)","5","2","6","3","3","0","0","-1","0","0","0","0","0","0","0","0","0"
"123","Dalvin Cook (FA)","2","4","10","6","4","0","0","0","0","0","0","0","0","1","1","0","2"
"124","Blake Watson (DEN)","3","1","3","2","1","0","0","0","0","0","0","0","0","0","1","0","1"
"125","Jonathan Ward (NYG)","4","1","6","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"126","MarShawn Lloyd (GB)","1","6","15","12","3","0","0","0","0","0","0","0","0","1","1","0","2"
"127","Aaron Shampklin (MIA)","3","2","6","3","3","0","0","-1","0","0","0","0","0","0","0","0","0"
"128","Tyreik McAllister (FA)","2","1","6","5","1","0","0","0","1","0","0","0","0","0","0","0","0"
"129","Myles Gaskin (BAL)","4","1","0","-1","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"130","George Holani (SEA)","3","1","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"131","Cody Schrader (LAR)","1","1","3","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"132","Chris Collier (LV)","6","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"133","Tyrion Davis-Price (GB)","1","3","7","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
"134","Reggie Gilliam (BUF)","14","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","Ke'Shawn Vaughn (SF)","1","2","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"136","Darrynton Evans (BUF)","2","2","2","1","1","0","1","-1","0","0","0","0","0","0","0","0","0"
"137","Joshua Kelley (FA)","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138","British Brooks (HOU)","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"139","Dylan Laube (LV)","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
""
""
