"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Justin Jefferson (MIN)","17","128","1,809","14.1","1,185","9.3","358","2.8","624","4.9","132","1.0","6","184","28.7%","134","5","28","74","28","14","6","1","64"
"2","Davante Adams (LAR)","17","100","1,516","15.2","1,023","10.2","438","4.4","493","4.9","96","1.0","9","180","32.3%","109","8","22","61","24","14","7","2","60"
"3","Tyreek Hill (MIA)","17","119","1,710","14.4","1,226","10.3","453","3.8","484","4.1","58","0.5","5","170","30.2%","127","8","9","69","25","9","7","4","64"
"4","A.J. Brown (PHI)","17","88","1,496","17.0","953","10.8","425","4.8","543","6.2","192","2.2","7","145","28.7%","95","6","16","58","23","13","6","3","78"
"5","Stefon Diggs (NE)","17","110","1,455","13.2","1,023","9.3","532","4.8","432","3.9","100","0.9","2","156","28.1%","117","7","23","57","17","10","6","2","53"
"6","CeeDee Lamb (DAL)","17","107","1,359","12.6","869","8.0","440","4.1","496","4.6","148","1.4","10","156","28.6%","114","6","12","60","24","6","0","0","39"
"7","Jaylen Waddle (MIA)","17","75","1,356","18.1","842","11.2","354","4.7","514","6.9","149","2.0","4","117","20.8%","82","7","8","54","21","11","6","3","84"
"8","Amari Cooper (FA)","17","78","1,160","14.9","835","10.7","448","5.7","325","4.2","93","1.2","4","132","26.0%","87","11","16","50","18","7","4","2","55"
"9","Amon-Ra St. Brown (DET)","16","106","1,161","10.9","632","6.0","196","1.8","521","4.9","90","0.8","7","146","25.9%","109","4","21","58","11","3","1","0","49"
"10","DeVonta Smith (PHI)","17","95","1,196","12.6","706","7.4","319","3.4","490","5.2","98","1.0","5","136","26.9%","103","8","12","53","18","8","4","0","45"
"11","Christian Kirk (HOU)","17","84","1,108","13.2","737","8.8","381","4.5","371","4.4","65","0.8","5","133","23.2%","91","7","22","45","18","7","2","0","49"
"12","Ja'Marr Chase (CIN)","13","87","1,046","12.0","609","7.0","400","4.6","437","5.0","141","1.6","10","134","22.4%","99","10","24","45","13","5","3","1","60"
"13","Tyler Lockett (TEN)","16","84","1,033","12.3","759","9.0","392","4.7","274","3.3","23","0.3","1","117","21.2%","87","2","8","42","14","8","1","0","40"
"14","Terry McLaurin (WAS)","17","77","1,191","15.5","797","10.4","416","5.4","394","5.1","143","1.9","7","120","22.6%","80","3","11","48","16","10","6","2","52"
"15","Brandon Aiyuk (SF)","17","78","1,015","13.0","628","8.1","244","3.1","387","5.0","106","1.4","4","114","22.6%","87","8","15","47","17","4","1","1","54"
"16","Mike Evans (TB)","15","77","1,124","14.6","908","11.8","286","3.7","216","2.8","61","0.8","2","127","17.5%","82","4","14","43","19","7","5","3","63"
"17","Tee Higgins (CIN)","15","75","1,042","13.9","750","10.0","310","4.1","292","3.9","101","1.3","2","110","18.4%","82","8","10","43","14","6","3","1","59"
"18","Jerry Jeudy (CLE)","15","67","972","14.5","577","8.6","355","5.3","395","5.9","104","1.6","3","100","18.5%","72","5","10","37","14","9","5","3","67"
"19","DK Metcalf (PIT)","17","90","1,048","11.6","830","9.2","391","4.3","218","2.4","64","0.7","1","141","25.5%","101","7","27","43","11","4","3","2","54"
"20","DJ Moore (CHI)","17","63","888","14.1","706","11.2","243","3.9","182","2.9","46","0.7","4","118","27.6%","69","6","10","36","17","4","4","2","62"
"21","Garrett Wilson (NYJ)","17","83","1,103","13.0","733","8.6","369","4.3","370","4.4","191","2.2","10","147","25.0%","91","5","19","48","13","8","3","3","60"
"22","Cooper Kupp (SEA)","9","75","812","10.8","388","5.2","415","5.5","424","5.7","106","1.4","3","98","19.0%","79","2","11","29","11","3","2","2","75"
"23","Chris Olave (NO)","15","72","1,042","14.5","832","11.6","673","9.3","210","2.9","54","0.8","2","119","24.1%","78","7","10","49","13","6","4","2","53"
"24","Gabe Davis (FA)","15","48","836","17.4","690","14.4","334","7.0","146","3.0","21","0.4","0","93","16.7%","57","9","13","33","11","4","3","2","98"
"25","Christian Watson (GB)","14","41","611","14.9","335","8.2","74","1.8","276","6.7","46","1.1","3","65","12.1%","45","4","13","24","8","4","3","2","63"
"26","Chris Godwin (TB)","15","104","1,023","9.8","496","4.8","77","0.7","527","5.1","128","1.2","4","142","19.6%","109","3","15","40","10","2","1","0","44"
"27","Michael Pittman Jr. (IND)","16","99","925","9.3","573","5.8","232","2.3","352","3.6","112","1.1","4","141","24.4%","106","6","14","40","8","0","0","0","28"
"28","Tyler Boyd (FA)","17","59","776","13.2","527","8.9","220","3.7","249","4.2","81","1.4","2","83","13.9%","62","3","12","33","10","3","3","2","60"
"29","Zay Jones (ARI)","16","82","823","10.0","541","6.6","219","2.7","282","3.4","58","0.7","2","121","21.1%","94","12","18","32","7","1","1","1","59"
"30","Allen Lazard (NYJ)","15","60","788","13.1","540","9.0","330","5.5","248","4.1","61","1.0","1","100","18.6%","68","6","17","30","13","5","2","0","47"
"31","George Pickens (DAL)","17","52","801","15.4","697","13.4","430","8.3","104","2.0","44","0.8","5","84","15.3%","59","4","6","33","17","7","1","0","42"
"32","Mike Williams (FA)","13","63","895","14.2","561","8.9","496","7.9","334","5.3","54","0.9","0","93","13.5%","64","1","13","38","11","5","2","2","55"
"33","Jakobi Meyers (LV)","14","67","804","12.0","568","8.5","205","3.1","236","3.5","33","0.5","1","96","18.5%","71","4","7","34","14","3","1","0","48"
"34","Deebo Samuel Sr. (WAS)","13","56","632","11.3","139","2.5","83","1.5","493","8.8","184","3.3","12","94","18.7%","65","9","13","24","7","2","1","1","57"
"35","Curtis Samuel (BUF)","17","64","656","10.3","365","5.7","151","2.4","291","4.5","69","1.1","8","92","17.3%","68","5","9","29","10","2","1","0","49"
"36","Adam Thielen (CAR)","17","70","716","10.2","564","8.1","263","3.8","152","2.2","27","0.4","1","107","16.7%","74","2","21","34","7","1","0","0","36"
"37","JuJu Smith-Schuster (KC)","16","78","933","12.0","430","5.5","239","3.1","503","6.4","130","1.7","3","101","16.4%","84","6","16","38","9","4","4","1","53"
"38","Drake London (ATL)","17","72","866","12.0","616","8.6","334","4.6","250","3.5","43","0.6","1","117","29.3%","83","4","16","41","10","4","1","0","40"
"39","Donovan Peoples-Jones (NO)","17","61","839","13.8","648","10.6","312","5.1","191","3.1","31","0.5","1","96","18.9%","64","2","13","35","14","6","1","0","42"
"40","Keenan Allen (LAC)","10","66","752","11.4","489","7.4","52","0.8","263","4.0","45","0.7","1","89","13.0%","67","2","15","33","7","5","2","0","46"
"41","Joshua Palmer (BUF)","16","72","769","10.7","514","7.1","192","2.7","255","3.5","49","0.7","1","107","15.6%","78","6","8","33","7","2","2","1","50"
"42","Mack Hollins (NE)","17","57","690","12.1","485","8.5","293","5.1","205","3.6","35","0.6","2","94","16.8%","61","5","11","25","9","3","2","1","60"
"43","Jahan Dotson (PHI)","12","35","523","14.9","386","11.0","330","9.4","137","3.9","42","1.2","1","61","11.5%","41","6","7","19","10","4","2","1","61"
"44","K.J. Osborn (WAS)","17","60","650","10.8","349","5.8","173","2.9","301","5.0","69","1.2","3","90","14.0%","62","2","9","21","6","3","2","2","66"
"45","Courtland Sutton (DEN)","15","64","829","13.0","678","10.6","568","8.9","151","2.4","37","0.6","1","109","20.1%","73","9","12","33","11","5","1","1","51"
"46","Diontae Johnson (CLE)","17","86","882","10.3","647","7.5","562","6.5","235","2.7","73","0.8","8","147","26.8%","95","8","16","38","7","3","0","0","37"
"47","Marquise Brown (KC)","12","67","709","10.6","473","7.1","420","6.3","236","3.5","38","0.6","1","107","16.9%","72","4","10","32","9","1","1","0","47"
"48","Brandin Cooks (NO)","13","57","699","12.3","494","8.7","343","6.0","205","3.6","9","0.2","1","93","16.7%","62","5","10","24","13","6","3","0","44"
"49","DeAndre Hopkins (BAL)","9","64","717","11.2","552","8.6","0","0.0","165","2.6","55","0.9","1","96","15.1%","69","5","6","31","8","2","0","0","33"
"50","Parris Campbell (FA)","17","63","623","9.9","346","5.5","84","1.3","277","4.4","56","0.9","5","91","15.7%","67","5","9","25","7","5","1","0","49"
"51","Darius Slayton (NYG)","15","46","724","15.7","462","10.0","136","3.0","262","5.7","93","2.0","2","71","14.5%","53","7","3","28","12","7","3","2","55"
