"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"52","Marquez Valdes-Scantling (SEA)","17","42","687","16.4","538","12.8","251","6.0","149","3.5","30","0.7","0","81","13.2%","48","5","11","26","13","5","3","1","57"
"53","Devin Duvernay (CHI)","14","37","407","11.0","251","6.8","142","3.8","156","4.2","19","0.5","0","49","10.5%","38","1","8","19","6","1","0","0","31"
"54","Isaiah McKenzie (FA)","16","42","423","10.1","295","7.0","139","3.3","128","3.0","17","0.4","0","66","11.9%","48","6","9","13","4","1","0","0","30"
"55","Richie James Jr. (FA)","16","57","569","10.0","393","6.9","190","3.3","176","3.1","15","0.3","1","70","14.3%","60","3","7","27","3","1","0","0","33"
"56","Russell Gage Jr. (SF)","13","51","426","8.4","255","5.0","109","2.1","171","3.4","63","1.2","2","70","9.7%","54","3","18","18","3","0","0","0","23"
"57","Rashid Shaheed (NO)","12","28","488","17.6","318","11.4","0","0.0","176","6.3","32","1.1","0","34","6.9%","29","1","1","16","6","6","4","3","68"
"58","DeVante Parker (FA)","13","31","539","17.4","434","14.0","307","9.9","105","3.4","40","1.3","3","47","9.1%","33","1","4","23","10","5","3","0","43"
"59","Noah Brown (WAS)","16","43","555","12.9","427","9.9","285","6.6","128","3.0","43","1.0","4","74","13.6%","50","6","11","22","6","3","2","1","51"
"60","Alec Pierce (IND)","16","41","593","14.5","484","11.8","246","6.0","109","2.7","18","0.4","0","78","13.5%","44","4","6","26","8","5","3","0","47"
"61","Marvin Jones Jr. (FA)","16","46","529","11.5","434","9.4","395","8.6","95","2.1","21","0.5","0","81","14.1%","51","5","11","24","6","2","0","0","37"
"62","Olamide Zaccheaus (CHI)","17","40","533","13.3","348","8.7","138","3.5","185","4.6","42","1.1","3","61","15.3%","43","0","6","24","9","3","2","0","45"
"63","Kalif Raymond (DET)","17","47","616","13.1","398","8.5","141","3.0","218","4.6","31","0.7","2","64","11.4%","47","0","9","25","10","3","3","1","56"
"64","Mecole Hardman Jr. (GB)","8","25","297","11.9","137","5.5","126","5.0","160","6.4","25","1.0","1","34","5.5%","27","1","10","10","5","3","0","0","36"
"65","DJ Chark Jr. (ATL)","11","30","502","16.7","368","12.3","328","10.9","134","4.5","15","0.5","0","52","9.2%","35","5","4","19","9","4","3","1","51"
"66","Chris Moore (WAS)","15","48","548","11.4","285","5.9","70","1.5","263","5.5","49","1.0","2","74","13.3%","51","2","11","21","9","5","1","1","52"
"67","Michael Gallup (WAS)","14","39","424","10.9","317","8.1","29","0.7","107","2.7","29","0.7","0","74","13.6%","46","7","12","20","4","0","0","0","27"
"68","DeAndre Carter (CLE)","17","46","538","11.7","332","7.2","162","3.5","206","4.5","41","0.9","0","65","9.5%","48","2","9","21","10","5","0","0","35"
"69","Josh Reynolds (NYJ)","12","38","479","12.6","364","9.6","320","8.4","115","3.0","21","0.6","0","59","10.5%","42","4","13","18","8","1","0","0","31"
"70","Corey Davis (FA)","13","32","536","16.8","427","13.3","393","12.3","109","3.4","23","0.7","1","64","10.9%","36","2","8","23","7","3","2","1","66"
"71","Marquise Goodwin (FA)","13","27","387","14.3","273","10.1","94","3.5","114","4.2","48","1.8","2","42","7.6%","30","2","4","16","9","1","0","0","38"
"72","Isaiah Hodgins (SF)","9","37","392","10.6","300","8.1","44","1.2","92","2.5","12","0.3","2","48","8.6%","37","0","6","17","4","0","0","0","29"
"73","Robert Woods (PIT)","17","53","527","9.9","371","7.0","189","3.6","156","2.9","24","0.5","0","91","20.9%","57","4","13","21","3","2","1","0","41"
"74","Darnell Mooney (ATL)","11","40","493","12.3","319","8.0","251","6.3","174","4.4","13","0.3","1","61","17.0%","41","3","6","19","7","3","1","1","56"
"75","Greg Dortch (ARI)","16","52","467","9.0","169","3.3","127","2.4","298","5.7","120","2.3","3","64","10.1%","53","0","5","19","5","2","1","0","47"
"76","Nico Collins (HOU)","10","37","481","13.0","321","8.7","389","10.5","160","4.3","27","0.7","3","66","11.8%","38","1","8","19","8","1","1","1","58"
"77","Romeo Doubs (GB)","13","42","425","10.1","229","5.5","223","5.3","196","4.7","36","0.9","0","67","12.4%","53","9","8","18","7","0","0","0","26"
"78","Chase Claypool (FA)","15","46","451","9.8","301","6.5","293","6.4","150","3.3","52","1.1","2","79","14.4%","50","4","6","20","7","1","0","0","31"
"79","Nick Westbrook-Ikhine (MIA)","16","25","397","15.9","285","11.4","122","4.9","112","4.5","37","1.5","1","50","11.5%","27","2","7","16","5","2","2","2","63"
"80","Demarcus Robinson (SF)","16","48","458","9.5","312","6.5","86","1.8","146","3.0","59","1.2","1","75","16.1%","51","3","10","21","4","1","0","0","31"
"81","Treylon Burks (TEN)","11","33","444","13.5","284","8.6","195","5.9","160","4.8","52","1.6","2","54","12.4%","36","3","4","14","8","4","3","2","51"
"82","Terrace Marshall Jr. (PHI)","13","28","490","17.5","350","12.5","0","0.0","140","5.0","64","2.3","1","47","11.0%","32","3","6","21","10","5","2","0","43"
"83","Van Jefferson (TEN)","10","24","369","15.4","331","13.8","0","0.0","38","1.6","11","0.5","0","44","8.5%","25","1","5","17","7","2","0","0","39"
"84","Trent Sherfield Sr. (DEN)","16","30","417","13.9","273","9.1","116","3.9","144","4.8","26","0.9","1","51","9.1%","33","4","8","17","5","2","1","1","75"
"85","Kendrick Bourne (NE)","16","35","434","12.4","289","8.3","166","4.7","145","4.1","26","0.7","2","48","9.3%","39","4","4","21","6","2","1","0","41"
"86","Allen Robinson II (FA)","10","33","339","10.3","268","8.1","185","5.6","71","2.2","9","0.3","0","52","10.1%","34","1","14","15","3","0","0","0","29"
"87","Quez Watkins (FA)","17","33","354","10.7","208","6.3","95","2.9","146","4.4","31","0.9","1","51","10.1%","36","3","4","11","5","3","2","2","53"
"88","Elijah Moore (BUF)","16","37","446","12.1","331","8.9","340","9.2","115","3.1","31","0.8","2","65","11.1%","39","2","7","19","8","1","1","0","42"
"89","Jamal Agnew (ATL)","15","23","187","8.1","66","2.9","119","5.2","121","5.3","20","0.9","0","30","5.2%","25","2","6","6","1","0","0","0","24"
"90","Trenton Irwin (JAC)","9","15","231","15.4","172","11.5","0","0.0","59","3.9","18","1.2","0","23","3.8%","16","1","5","10","3","2","1","0","45"
"91","Randall Cobb (FA)","13","34","417","12.3","232","6.8","279","8.2","185","5.4","48","1.4","1","50","9.3%","36","2","7","14","7","2","1","0","40"
"92","Jauan Jennings (SF)","16","35","416","11.9","240","6.9","114","3.3","176","5.0","49","1.4","3","56","11.1%","42","7","3","22","3","2","1","0","44"
"93","Rondale Moore (MIN)","8","41","414","10.1","133","3.2","58","1.4","281","6.9","86","2.1","5","56","8.8%","47","5","6","16","6","2","0","0","38"
"94","Julio Jones (FA)","10","24","299","12.5","175","7.3","161","6.7","124","5.2","29","1.2","2","43","5.9%","26","1","6","10","3","2","1","0","48"
"95","Dante Pettis (NO)","17","19","245","12.9","182","9.6","57","3.0","63","3.3","7","0.4","1","41","11.4%","24","4","4","11","2","2","2","1","51"
"96","Laviska Shenault Jr. (BUF)","13","27","272","10.1","-59","-2.2","1","0.0","331","12.3","85","3.1","0","32","7.5%","29","2","2","7","3","2","2","1","67"
"97","Ben Skowronek (PIT)","14","39","376","9.6","239","6.1","156","4.0","137","3.5","26","0.7","0","61","11.8%","41","2","3","12","5","2","0","0","32"
"98","Tutu Atwell (LAR)","13","18","298","16.6","237","13.2","58","3.2","61","3.4","17","0.9","2","35","6.8%","20","1","2","9","5","3","2","2","62"
"99","Tyquan Thornton (KC)","12","22","247","11.2","179","8.1","0","0.0","68","3.1","13","0.6","0","45","8.7%","27","5","5","11","4","0","0","0","29"
"100","Nelson Agholor (FA)","15","31","362","11.7","218","7.0","248","8.0","144","4.6","38","1.2","1","53","10.2%","34","3","2","14","6","2","1","0","44"
"101","Ray-Ray McCloud III (ATL)","17","14","243","17.4","151","10.8","88","6.3","92","6.6","9","0.6","0","25","5.0%","16","2","1","12","5","2","1","0","42"
"102","Equanimeous St. Brown (SF)","16","21","323","15.4","234","11.1","134","6.4","89","4.2","17","0.8","0","38","10.6%","22","1","2","13","5","2","1","1","56"
"103","Justin Watson (HOU)","17","15","315","21.0","255","17.0","87","5.8","60","4.0","10","0.7","0","34","5.5%","20","5","2","12","6","3","2","1","67"
"104","Hunter Renfrow (CAR)","10","36","330","9.2","181","5.0","50","1.4","149","4.1","35","1.0","2","50","9.0%","37","1","5","12","3","0","0","0","27"
"105","Kadarius Toney (FA)","9","16","171","10.7","63","3.9","-7","-0.4","108","6.8","44","2.8","4","20","4.1%","18","2","5","6","4","1","0","0","38"
"106","Braxton Berrios (HOU)","17","18","145","8.1","53","2.9","40","2.2","92","5.1","15","0.8","1","32","5.4%","21","3","5","5","2","0","0","0","25"
"107","Shi Smith (FA)","17","22","296","13.5","140","6.4","106","4.8","156","7.1","32","1.5","1","41","9.6%","25","3","5","13","6","2","0","0","38"
"108","Damiere Byrd (FA)","12","13","268","20.6","163","12.5","40","3.1","105","8.1","14","1.1","1","23","5.8%","15","1","0","11","3","2","2","1","75"
"109","Rashod Bateman (BAL)","6","15","285","19.0","152","10.1","317","21.1","133","8.9","11","0.7","1","28","6.0%","19","4","1","7","5","3","2","2","75"
"110","A.J. Green (FA)","13","24","236","9.8","175","7.3","115","4.8","61","2.5","30","1.3","2","47","7.4%","27","2","6","5","1","1","1","1","77"
"111","Jarvis Landry (FA)","9","25","272","10.9","211","8.4","226","9.0","61","2.4","20","0.8","1","39","7.9%","27","2","6","10","2","2","1","0","40"
"112","Michael Thomas (FA)","3","16","171","10.7","150","9.4","237","14.8","21","1.3","2","0.1","0","22","4.5%","18","1","3","9","2","0","0","0","21"
"113","Tre'Quan Smith (FA)","10","19","278","14.6","212","11.2","148","7.8","66","3.5","33","1.7","2","27","5.5%","22","3","2","12","4","1","1","0","48"
"114","Kendall Hinton (FA)","11","24","311","13.0","172","7.2","94","3.9","139","5.8","52","2.2","3","33","6.1%","28","4","4","13","5","3","0","0","35"
"115","Robbie Chosen (SF)","12","20","282","14.1","186","9.3","240","12.0","96","4.8","5","0.3","0","44","10.3%","22","2","3","10","3","2","1","1","75"
"116","Phillip Dorsett II (LV)","15","20","257","12.9","195","9.8","36","1.8","62","3.1","11","0.6","0","40","7.2%","24","3","2","9","5","1","0","0","34"
"117","Sammy Watkins (FA)","9","16","325","20.3","199","12.4","72","4.5","126","7.9","6","0.4","0","27","5.0%","20","2","5","9","7","4","3","1","55"
"118","Wan'Dale Robinson (NYG)","6","23","227","9.9","101","4.4","5","0.2","126","5.5","26","1.1","1","31","6.3%","24","1","2","10","0","0","0","0","19"
"119","KhaDarel Hodge (ATL)","14","13","202","15.5","141","10.8","84","6.5","61","4.7","3","0.2","0","20","5.0%","15","1","0","10","2","1","0","0","39"
"120","Dyami Brown (JAC)","9","5","143","28.6","112","22.4","69","13.8","31","6.2","2","0.4","1","14","2.6%","5","0","0","4","2","2","1","1","75"
"121","Ashton Dulin (IND)","10","15","207","13.8","172","11.5","215","14.3","35","2.3","15","1.0","1","22","3.8%","15","0","4","11","2","1","0","0","39"
"122","Velus Jones Jr. (NO)","11","7","107","15.3","70","10.0","0","0.0","37","5.3","8","1.1","0","14","3.9%","8","1","2","3","2","1","1","0","44"
"123","Byron Pringle (FA)","10","10","135","13.5","121","12.1","58","5.8","14","1.4","0","0.0","0","16","4.5%","10","0","1","6","3","1","0","0","35"
"124","Khalil Shakir (BUF)","10","10","161","16.1","78","7.8","106","10.6","83","8.3","14","1.4","1","20","3.6%","12","2","0","7","4","1","0","0","31"
"125","Jalen Nailor (MIN)","8","9","179","19.9","112","12.4","13","1.4","67","7.4","37","4.1","1","13","2.0%","9","0","1","8","3","2","1","0","47"
"126","Brandon Powell (FA)","17","24","156","6.5","-28","-1.2","0","0.0","184","7.7","12","0.5","0","32","6.2%","27","3","4","6","0","0","0","0","16"
"127","Amari Rodgers (FA)","15","16","204","12.8","130","8.1","0","0.0","74","4.6","16","1.0","2","25","4.6%","18","1","1","10","3","1","0","0","37"
"128","River Cracraft (WAS)","8","9","102","11.3","76","8.4","31","3.4","26","2.9","1","0.1","0","14","2.5%","9","0","3","7","1","0","0","0","22"
"129","Marquez Callaway (LV)","10","16","158","9.9","123","7.7","95","5.9","35","2.2","17","1.1","0","32","6.5%","19","3","5","6","2","1","0","0","33"
"130","David Bell (CLE)","16","24","214","8.9","139","5.8","72","3.0","75","3.1","25","1.0","3","35","6.9%","28","3","1","8","1","0","0","0","20"
"131","Sterling Shepard (TB)","3","13","154","11.8","99","7.6","225","17.3","55","4.2","27","2.1","1","24","4.9%","16","3","1","5","1","1","1","1","65"
"132","Skyy Moore (KC)","16","22","250","11.4","102","4.6","65","3.0","148","6.7","37","1.7","2","33","5.4%","23","1","1","10","2","1","0","0","30"
"133","Zach Pascal (NYG)","15","15","150","10.0","64","4.3","37","2.5","86","5.7","8","0.5","1","19","3.8%","16","1","1","5","2","1","0","0","34"
"134","Keelan Cole Sr. (FA)","12","10","141","14.1","112","11.2","67","6.7","29","2.9","13","1.3","0","21","3.8%","13","3","3","7","3","1","0","0","30"
"135","Scotty Miller (PIT)","12","23","185","8.0","152","6.6","181","7.9","33","1.4","7","0.3","0","40","5.5%","27","3","4","6","2","0","0","0","23"
"136","Jalen Reagor (LAC)","17","8","104","13.0","76","9.5","12","1.5","28","3.5","8","1.0","0","13","2.0%","8","0","1","4","2","1","0","0","38"
"137","KJ Hamler (BUF)","7","7","165","23.6","142","20.3","115","16.4","23","3.3","9","1.3","0","14","2.6%","7","0","0","4","3","3","3","1","55"
"138","Denzel Mims (FA)","9","11","186","16.9","111","10.1","0","0.0","75","6.8","52","4.7","3","25","4.3%","16","3","1","8","2","2","1","1","63"
"139","Lawrence Cager (WAS)","6","13","118","9.1","40","3.1","14","1.1","78","6.0","13","1.0","1","19","3.2%","13","0","1","6","1","0","0","0","20"
"140","N'Keal Harry (FA)","6","7","116","16.6","101","14.4","0","0.0","15","2.1","1","0.1","0","9","2.5%","7","0","1","4","1","1","1","0","49"
"141","Steven Sims Jr. (SEA)","12","14","104","7.4","18","1.3","0","0.0","86","6.1","14","1.0","2","23","4.2%","14","1","1","5","1","0","0","0","28"
"142","DeSean Jackson (FA)","7","9","153","17.0","130","14.4","0","0.0","23","2.6","3","0.3","1","17","3.7%","9","0","2","5","2","1","1","1","62"
"143","Anthony Schwartz (FA)","7","4","51","12.8","24","6.0","30","7.5","27","6.8","1","0.3","0","10","2.0%","6","2","0","3","0","0","0","0","19"
"144","Cedrick Wilson Jr. (NO)","13","12","136","11.3","91","7.6","25","2.1","45","3.8","11","0.9","0","18","3.2%","12","0","0","6","2","0","0","0","21"
"145","Breshad Perriman (FA)","8","9","110","12.2","58","6.4","201","22.3","52","5.8","6","0.7","1","19","2.6%","11","2","0","5","2","0","0","0","28"
"146","Samori Toure (CHI)","4","5","82","16.4","71","14.2","0","0.0","11","2.2","5","1.0","0","10","1.9%","5","0","1","2","2","2","0","0","37"
"147","Kenny Golladay (FA)","6","6","81","13.5","70","11.7","54","9.0","11","1.8","0","0.0","0","17","3.5%","10","4","1","4","1","0","0","0","25"
"148","Tom Kennedy (DET)","7","8","141","17.6","63","7.9","73","9.1","78","9.8","12","1.5","0","15","2.7%","9","1","1","5","2","1","1","0","44"
"149","Jameson Williams (DET)","6","1","41","41.0","36","36.0","0","0.0","5","5.0","0","0.0","0","9","1.6%","3","2","0","1","1","1","1","0","41"
"150","Jeff Smith (FA)","7","8","134","16.8","97","12.1","33","4.1","37","4.6","2","0.3","0","11","1.9%","8","0","1","5","2","1","1","1","50"
"151","T.Y. Hilton (FA)","3","7","121","17.3","88","12.6","0","0.0","33","4.7","18","2.6","1","10","1.8%","9","2","0","4","2","1","1","1","52"
"152","Jalen Virgil (FA)","7","2","75","37.5","32","16.0","0","0.0","43","21.5","0","0.0","0","5","0.9%","2","0","0","1","1","1","1","1","66"
"153","David Sills (ATL)","7","11","106","9.6","66","6.0","92","8.4","40","3.6","12","1.1","0","17","3.5%","12","1","2","4","1","0","0","0","24"
"154","Marcus Johnson (FA)","8","9","99","11.0","63","7.0","22","2.4","36","4.0","7","0.8","0","22","4.5%","10","1","3","5","0","0","0","0","18"
"155","Dax Milne (FA)","15","6","37","6.2","24","4.0","24","4.0","13","2.2","6","1.0","1","7","1.3%","6","0","3","1","0","0","0","0","12"
"156","Cam Sims (FA)","13","8","89","11.1","71","8.9","99","12.4","18","2.3","0","0.0","0","18","3.4%","8","0","3","5","1","0","0","0","21"
"157","Michael Bandy (DEN)","8","10","89","8.9","64","6.4","43","4.3","25","2.5","0","0.0","0","21","3.1%","11","1","1","4","2","0","0","0","25"
"158","Brandon Johnson (PIT)","5","6","42","7.0","29","4.8","0","0.0","13","2.2","3","0.5","0","14","2.6%","6","0","2","2","0","0","0","0","12"
"159","Freddie Swain (FA)","3","4","74","18.5","47","11.8","0","0.0","27","6.8","2","0.5","0","6","1.1%","4","0","0","2","1","1","1","1","52"
"160","Kevin White (FA)","6","2","74","37.0","6","3.0","0","0.0","68","34.0","36","18.0","0","5","1.0%","3","1","0","2","1","1","1","1","64"
"161","Gunner Olszewski (NYG)","15","5","53","10.6","40","8.0","0","0.0","13","2.6","6","1.2","1","7","1.3%","5","0","1","1","1","1","0","0","31"
"162","Dee Eskridge (MIA)","9","7","58","8.3","12","1.7","6","0.9","46","6.6","7","1.0","1","13","2.4%","7","0","2","4","0","0","0","0","16"
"163","Jake Kumerow (FA)","5","4","64","16.0","47","11.8","47","11.8","17","4.3","6","1.5","0","7","1.3%","4","0","0","3","1","1","0","0","39"
"164","Jalen Guyton (FA)","2","2","64","32.0","57","28.5","115","57.5","7","3.5","0","0.0","0","4","0.6%","2","0","0","2","1","1","1","1","54"
"165","Jamison Crowder (FA)","4","6","60","10.0","30","5.0","121","20.2","30","5.0","7","1.2","0","13","2.3%","7","0","0","3","0","0","0","0","16"
"166","Michael Strachan (FA)","6","3","59","19.7","46","15.3","75","25.0","13","4.3","5","1.7","0","9","1.6%","3","0","4","3","2","0","0","0","23"
"167","Deven Thompkins (FA)","5","5","32","6.4","0","0.0","0","0.0","32","6.4","15","3.0","2","10","1.4%","7","0","0","1","0","0","0","0","13"
"168","Mike Thomas (FA)","5","2","38","19.0","14","7.0","64","32.0","24","12.0","29","14.5","0","10","1.7%","4","1","3","1","1","1","0","0","33"
"169","Trent Taylor (SF)","16","6","62","10.3","19","3.2","0","0.0","43","7.2","22","3.7","1","10","1.7%","6","0","0","1","1","1","0","0","34"
"170","Cody Hollister (FA)","6","3","54","18.0","46","15.3","22","7.3","8","2.7","2","0.7","0","5","1.1%","3","0","1","2","2","0","0","0","27"
"171","James Proche II (TEN)","12","8","62","7.8","46","5.8","0","0.0","16","2.0","6","0.8","1","17","3.7%","9","1","2","3","0","0","0","0","12"
"172","Chris Conley (FA)","4","4","46","11.5","43","10.8","18","4.5","3","0.8","0","0.0","0","7","1.3%","6","2","0","1","1","0","0","0","27"
"173","Andre Baccellia (ARI)","7","7","45","6.4","34","4.9","55","7.9","11","1.6","0","0.0","0","10","1.6%","7","0","1","2","0","0","0","0","11"
"174","Racey McMath (FA)","4","2","40","20.0","33","16.5","0","0.0","7","3.5","0","0.0","0","8","1.8%","2","0","0","1","1","1","0","0","39"
